,universidad,carrera,fecha_de_inscripcion,nombre_de_usuario,sexo,fecha_nacimiento,direccion,email
0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIA_POLÍTICA_,15-Sep-20,WELCHMIGUEL,M,05-Oct-15,"594_ALVARADO_STREET_SUITE_945
CHANSIDE,_IL_06393",RICHARD21@HOTMAIL.COM
1,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_PLANIFICACIÓN_Y_DISEÑO_DEL_PAISAJE,20-Sep-20,RACHELFLORES,F,18-Sep-67,"9556_RYAN_FORD
PORT_DEVINBOROUGH,_UT_80704",JDALTON@HOTMAIL.COM
2,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_SOCIOLOGÍA_,26-Dec-20,SCOTTADAMS,M,22-May-87,"7615_HAYS_COVE_APT._447
CHRISTINEBURY,_LA_00827",JUANMAY@HOTMAIL.COM
3,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_DE_LA_COMPUTACIÓN,29-Oct-20,RUSSELL25,F,20-Feb-08,"36685_PATTON_ESTATES_APT._781
BRYANBOROUGH,_TX_27488",ITORRES@YAHOO.COM
4,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,BIOQUÍMICA,26-Oct-20,KELLY54,F,25-Aug-61,"86991_TIMOTHY_VALLEYS
MATTHEWVIEW,_MS_38879",TIFFANYWASHINGTON@HOTMAIL.COM
5,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,06-Oct-20,JOHNROBINSON,F,06-Oct-51,"489_CATHY_MANORS_SUITE_653
SOUTH_AUTUMN,_TX_57866",JMONROE@HOTMAIL.COM
6,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,ACTUARIO_,20-Jan-21,JESSICATRAN,F,23-Mar-00,"88212_TORRES_RAPID_APT._689
SOUTH_MADISONVILLE,_IA_76357",VERONICALEWIS@GMAIL.COM
7,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,DISEÑO_DE_IMAGEN_Y_SONIDO,24-Nov-20,COURTNEYWILSON,F,25-Sep-12,"PSC_1259,_BOX_2319
APO_AP_54648",MALONEJOSEPH@HOTMAIL.COM
8,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_AMBIENTALES,16-Sep-20,MICHAELDAVIS,M,21-Nov-18,"598_DAWN_COURSE_APT._418
DUNNBOROUGH,_VT_38589",FFLORES@GMAIL.COM
9,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIA_POLÍTICA_,17-Jan-21,LOVEAMANDA,F,02-Apr-54,"880_GRAY_JUNCTION
PORT_WILLIAM,_MD_94722",XGOLDEN@HOTMAIL.COM
