universidades,carreras,fechas_de_inscripcion,nombres,sexo,fechas_nacimiento,codigos_postales,direcciones,emails
universidad-de-buenos-aires,actuario-,20-Sep-24,amy-wallace,f,21-Mar-12,8431,"4440-edward-junctions-apt.-088
east-brian,-ar-23045",brookejones@yahoo.com
universidad-de-buenos-aires,licenciatura-en-gestión-de-agroalimentos,20-Sep-27,angela-hudson,f,05-Feb-21,3151,"8672-rasmussen-way
leviville,-id-98957",cpatterson@yahoo.com
universidad-de-buenos-aires,medicina,20-Oct-18,jessica-sandoval,f,45-Sep-12,6601,"4934-robyn-burg
lake-sandy,-al-36317",melinda04@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-antropológicas,20-Sep-20,david-cooper,m,29-Aug-01,6105,"8086-davenport-flat-suite-093
port-robertview,-ky-35162",lukegutierrez@yahoo.com
universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Dec-12,benjamin-nicholson,m,68-Jun-05,5345,"3986-reynolds-lodge-suite-625
north-christopher,-me-06591",bgonzalez@hotmail.com
universidad-de-buenos-aires,licenciatura-en-terapia-ocupacional,20-Dec-04,douglas-boyer,m,13-May-09,3580,"3370-richardson-forge-apt.-577
greenechester,-ma-65283",taylor62@yahoo.com
universidad-de-buenos-aires,licenciatura-en-ciencias-de-la-educación-,20-Sep-18,kenneth-wright,m,49-Aug-12,7172,"640-ramos-vista-suite-029
north-virginia,-wa-44218",butlermartha@gmail.com
universidad-de-buenos-aires,técnico-para-bioterios-,21-Jan-28,heather-bradford,f,17-Nov-02,6422,"6017-anna-trail
south-mary,-ma-58614",nicole86@yahoo.com
universidad-de-buenos-aires,ingeniería-electrónica,21-Jan-27,mary-smith,f,89-Sep-13,8113,"717-henry-land-apt.-299
floreston,-wi-42607",margaret65@yahoo.com
universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Nov-04,pamela-delgado,f,88-Sep-17,5557,"91379-jerry-cove
south-ryan,-mo-89223",stefanie45@hotmail.com
universidad-de-buenos-aires,licenciatura-en-administración-,20-Nov-24,paul-myers,m,23-Nov-14,5407,"57252-cummings-wells
new-benjamin,-nv-04671",ypayne@yahoo.com
