universities,careers,inscription_dates,names,sexo,birth_dates,locations,direccion,emails
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,31-12-2020,STACEY-MEDINA,F,07-04-1959,ALDEA-BELEIRO,"78607-RYAN-FERRY-SUITE-014
NORTH-JUSTIN,-KY-38169",SARAHPHAM@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,29-10-2020,KATHRYN-NICHOLS,F,22-12-2008,COLONIA-BARGA,"28738-JOSHUA-MOUNTAIN
SHARONBERG,-DE-97952",CHRISTOPHERANDERSON@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,01-01-2021,ERIC-KANE,M,24-02-2009,SAN-JUSTO,"21718-HARVEY-SQUARES-SUITE-585
EAST-KELSEYBOROUGH,-AZ-52310",JAMES27@YAHOO.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-EN-INFORMÁTICA,17-09-2020,JERRY-BEASLEY,M,30-05-1990,BOQUERON,"1842-SHANE-NECK-SUITE-543
LAKE-KELLYBOROUGH,-AR-44699",BROWNMICHAEL@GMAIL.COM
UNIVERSIDAD-DEL-CINE,ARQUITECTURA,29-10-2020,DARRELL-CHAPMAN,M,12-07-1960,AGUA-RICA,"85051-SANDOVAL-GARDEN
LAKE-KARENCHESTER,-DE-29045",CTHOMAS@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,13-11-2020,KIMBERLY-MOORE,F,19-04-1977,ABRA-GUAZU,"135-JESSICA-VISTA
REESEVIEW,-AL-02661",NHILL@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,09-12-2020,CHAD-NELSON,M,22-02-1976,ANTA,"670-CARPENTER-FORT-SUITE-319
KNIGHTTON,-OH-95607",BENJAMIN04@YAHOO.COM
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,16-12-2020,JESSICA-MARKS,F,27-09-1971,COLONIA-CAMPO-PIAGGIO,"5861-COOPER-ISLE-SUITE-397
JESSICABOROUGH,-GA-92350",JEFFREY47@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,12-09-2020,DANIELLE-JOHNSON,F,28-12-1936,DIAMANTE,"589-SARAH-TRACE-APT.-800
LAKE-JOSEPH,-AK-21605",NUNEZTRACY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,ACTUARIO-,26-11-2020,PAMELA-LANE,F,09-11-1987,EMPALME-VILLA-CONSTITUCION,"40754-FARRELL-FLATS-APT.-523
NORTH-NATHANIELSIDE,-TX-95563",LOPEZASHLEY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,02-11-2020,APRIL-MARSHALL,F,22-10-1997,DESVIO-BOERO,"6456-FRANCO-HARBORS-SUITE-263
JONESPORT,-PA-23840",XLYNCH@YAHOO.COM
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,04-09-2020,KATHLEEN-DEAN,F,27-05-1969,KILOMETRO-77,"UNIT-2884-BOX-7721
DPO-AA-80092",WMORRIS@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-MUSICOTERAPIA,14-09-2020,MATTHEW-FINLEY,M,05-04-1960,AGUARA-CUA,"575-DANIEL-MEADOWS-APT.-501
FLETCHERMOUTH,-KY-36940",BRIANPARKER@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,ARQUITECTURA,22-01-2021,ANGELA-KING,F,15-08-1916,AMENABAR,"4322-DODSON-LANDING
MOLINABURGH,-IN-44505",MARIA28@HOTMAIL.COM
