	university	career	inscription_date	first_name	last_name	gender	age	postal_code	location	email
0	universidad nacional de tres de febrero	ingeniería electrónica	2020-12-12	jason	mahoney	male	81	6315	colonia baron	denise97@hotmail.com
1	universidad nacional de tres de febrero	licenciatura en ciencias de la computación	2020-10-27	ashley	allen	female	103	5444	ampacama	xclark@hotmail.com
2	universidad nacional de tres de febrero	arquitectura	2020-10-23	crystal	robles	female	105	8134	argerich	burkedaniel@hotmail.com
3	universidad nacional de tres de febrero	licenciatura en producción de bioimagenes	2020-09-08	diana	freeman	female	112	6365	azteazu	derek88@yahoo.com
4	universidad nacional de tres de febrero	licenciatura en ciencias biológicas	2020-10-25	nicholas	vega	male	75	4616	barcena	rhonda86@hotmail.com
5	universidad nacional de tres de febrero	diseño industrial	2020-09-20	joshua	hill	male	103	7249	el araza	kbarajas@gmail.com
6	universidad nacional de tres de febrero	ciencias veterinarias	2020-11-22	william	williams	male	41	3201	camba paso	aaron00@gmail.com
7	universidad nacional de tres de febrero	licenciatura en producción de bioimagenes	2021-01-25	gary	edwards	male	71	8319	campamento sol	baileychris@gmail.com
8	universidad nacional de tres de febrero	bioquímica	2021-01-19	jennifer	lee	female	76	5360	chilecito	jamiewilliams@gmail.com
9	universidad nacional de tres de febrero	licenciatura en ciencia y tecnología de alimentos	2020-10-11	david	white	male	105	1706	haedo	shortdebra@gmail.com
10	universidad nacional de tres de febrero	licenciatura en artes	2020-10-29	joseph	smith	male	74	6309	alpachiri	kayleelewis@hotmail.com
11	universidad nacional de tres de febrero	licenciatura en gestión de agroalimentos	2020-10-20	michael	barker	male	91	3122	arroyo corralito	bryan82@yahoo.com
12	universidad nacional de tres de febrero	bioquímica	2020-09-01	laurie	patterson	female	39	3023	cululu	montgomerydaniel@yahoo.com
13	universidad nacional de tres de febrero	bioquímica	2020-10-08	matthew	campbell	male	81	6380	boeuf	sullivanamber@gmail.com
14	universidad nacional de tres de febrero	ingeniería electrónica	2020-11-14	thomas	colon	male	30	1875	wilde	misty40@hotmail.com
15	universidad nacional de tres de febrero	licenciatura en ciencias biológicas	2021-01-27	erin	chaney	female	99	5327	capihuas	hcole@gmail.com
16	universidad nacional de tres de febrero	licenciatura en ciencias antropológicas	2020-10-08	luis	adams	male	70	3318	bonpland norte	jessicawells@yahoo.com
17	universidad nacional de tres de febrero	contador público 	2020-12-29	chelsea	thomas	female	44	6409	jose maria blanco	gkane@gmail.com
18	universidad nacional de tres de febrero	agronomía	2020-12-09	jessica	bailey	female	102	5473	aguayo	donaldruiz@hotmail.com
19	universidad nacional de tres de febrero	diseño de imagen y sonido	2020-09-16	jessica	porter	female	110	1895	arturo segui	vaguilar@hotmail.com
20	universidad nacional de tres de febrero	bioquímica	2020-10-04	kiara	burke	female	89	9053	aguada grande	roberthenry@hotmail.com
21	universidad nacional de tres de febrero	licenciatura en ciencias antropológicas	2020-12-06	dawn	dixon	female	67	1846	adrogue	tina37@yahoo.com
22	universidad nacional de tres de febrero	licenciatura en ciencias antropológicas	2021-01-27	alexis	kerr	female	32	6537	el camoati	banderson@hotmail.com
23	universidad nacional de tres de febrero	licenciatura en producción de bioimagenes	2020-11-26	raymond	sanchez	male	112	6228	aguas buenas	nthompson@gmail.com
24	universidad nacional de tres de febrero	licenciatura en ciencias ambientales	2021-01-03	andrea	harrison	female	111	2170	candelaria sud	judithmiller@hotmail.com
25	universidad nacional de tres de febrero	licenciatura en ciencias biológicas	2020-12-11	michael	ewing	male	44	5634	bowen	qware@hotmail.com
26	universidad nacional de tres de febrero	licenciatura en ciencias de la educación 	2020-12-06	kristina	franklin	female	95	3541	campo las puertas	andrewtaylor@yahoo.com
27	universidad nacional de tres de febrero	diseño de imagen y sonido	2020-09-21	bridget	hampton	female	76	1876	bernal este	gregory00@gmail.com
28	universidad nacional de tres de febrero	licenciatura en relaciones del trabajo 	2020-09-30	cody	vaughn	male	109	1631	villa rosa	nichole69@gmail.com
29	universidad nacional de tres de febrero	diseño de imagen y sonido	2021-01-28	amber	davis	female	70	3272	colonia 1 de mayo	nathan55@gmail.com
30	universidad nacional de tres de febrero	medicina	2020-09-28	edward	stanley	male	99	1838	luis guillon	breannarush@hotmail.com
31	universidad nacional de tres de febrero	medicina	2020-10-06	richard	miller	male	42	5321	el potrero	hmoses@yahoo.com
32	universidad nacional de tres de febrero	licenciatura en relaciones del trabajo 	2021-01-28	daniel	miller	male	23	6071	bermudez	gary63@yahoo.com
33	universidad nacional de tres de febrero	licenciatura en ciencias biológicas	2020-11-28	david	martin	male	81	9003	bahia solano	dianacampbell@gmail.com
34	universidad nacional de tres de febrero	licenciatura en ciencias de la educación 	2020-10-09	todd	jones	male	93	6559	recalde	vmejia@hotmail.com
35	universidad nacional de tres de febrero	licenciatura en ciencias geológicas	2020-11-07	angela	horton	female	119	5461	aguada de la peña	fredmartinez@gmail.com
36	universidad nacional de tres de febrero	medicina	2020-12-26	joseph	fowler	male	40	3569	barros pazos	hsnyder@gmail.com
37	universidad nacional de tres de febrero	diseño industrial	2020-10-22	mrs.	stephanie	female	39	2707	4 de noviembre	gpeterson@hotmail.com
38	universidad nacional de tres de febrero	licenciatura en administración 	2020-12-08	mr.	aaron	male	110	6230	francisco casal	williamsantiago@hotmail.com
39	universidad nacional de tres de febrero	licenciatura en ciencias de la educación 	2021-01-20	ruben	garner	male	48	7545	huanguelen	vburton@hotmail.com
40	universidad nacional de tres de febrero	licenciatura en terapia ocupacional	2020-11-16	amber	cohen	female	94	3234	bonpland	michael33@hotmail.com
41	universidad nacional de tres de febrero	agronomía	2021-01-04	jackson	conrad	male	121	6269	la colina	jessica99@hotmail.com
42	universidad nacional de tres de febrero	técnico para bioterios 	2020-12-02	kristen	jones	female	24	1854	longchamps	wwilkins@hotmail.com
43	universidad nacional de tres de febrero	ingeniería en informática	2020-12-25	christopher	martin	male	62	4504	23 de agosto	rebeccamichael@hotmail.com
44	universidad nacional de tres de febrero	licenciatura en ciencias geológicas	2020-09-26	mark	hull	male	61	4612	carahunco	crystal94@yahoo.com
45	universidad nacional de tres de febrero	ingeniería mecánica	2020-12-20	lucas	durham	male	93	5759	calera argentina	matthew22@hotmail.com
46	universidad nacional de tres de febrero	licenciatura en ciencias geológicas	2021-01-23	dale	gray	male	106	3376	gobernador lanusse	lauren32@hotmail.com
47	universidad nacional de tres de febrero	licenciatura en relaciones del trabajo 	2020-11-29	diana	taylor	female	49	6030	edmundo perkins	williamsonashley@hotmail.com
48	universidad nacional de tres de febrero	licenciatura en artes	2020-12-13	cheryl	boyle	female	77	3718	amambay	jason96@gmail.com
