	university	career	inscription_date	first_name	last_name	gender	age	postal_code	location	email
0	universidad tecnológica nacional	licenciatura en ciencias geológicas	2020-09-28	jeffrey	nash	male	84	1748	general rodriguez	bmorgan@hotmail.com
1	universidad tecnológica nacional	licenciatura en ciencias antropológicas	2020-11-25	melissa	reynolds	female	18	3371	cabure	jonathon04@hotmail.com
2	universidad tecnológica nacional	licenciatura en sociología 	2021-01-17	leonard	weber	male	86	1723	mariano acosta	dmercado@yahoo.com
3	universidad tecnológica nacional	arquitectura	2020-10-09	danny	brown	male	50	1826	remedios de escalada	lisa01@hotmail.com
4	universidad tecnológica nacional	licenciatura en sociología 	2020-11-05	william	williams	male	82	5751	agua salada	smithemma@gmail.com
5	universidad tecnológica nacional	licenciatura en sociología 	2020-10-08	sierra	dean	female	45	5436	colonia zapata	lhobbs@gmail.com
6	universidad tecnológica nacional	ingeniería electrónica	2020-09-30	jeffrey	martin	male	39	4648	barrio la union	steven54@hotmail.com
7	universidad tecnológica nacional	bioquímica	2020-11-05	michael	watkins	male	66	9031	bajo la cancha	michelle01@hotmail.com
8	universidad tecnológica nacional	licenciatura en ciencia política 	2020-12-04	douglas	hogan	male	14	3487	puesto de isla	lynchalexis@gmail.com
9	universidad tecnológica nacional	licenciatura en planificación y diseño del paisaje	2020-11-09	nicole	giles	female	18	2605	otto bemberg	susanmatthews@hotmail.com
10	universidad tecnológica nacional	técnico para bioterios 	2020-10-03	nicole	carr	female	113	5304	el tala	robertburns@gmail.com
11	universidad tecnológica nacional	ingeniería en informática	2021-01-11	sandra	lucas	female	91	3487	puesto de isla	joshua77@yahoo.com
12	universidad tecnológica nacional	licenciatura en ciencia y tecnología de alimentos	2020-09-24	nichole	lee	female	23	9223	alto rio pico	jameswong@hotmail.com
13	universidad tecnológica nacional	farmacia	2020-09-11	hunter	murillo	male	104	8170	abra de hinojo	pauljamie@yahoo.com
14	universidad tecnológica nacional	bioquímica	2021-01-12	jennifer	allen	female	113	2805	arroyo aleli	deleontara@hotmail.com
15	universidad tecnológica nacional	licenciatura en ciencias de la computación	2020-10-13	debra	dixon	female	72	9007	el jaguel	weaverroberto@yahoo.com
16	universidad tecnológica nacional	bioquímica	2020-11-24	daniel	pacheco	male	11	7521	deferrari	tiffanyfisher@gmail.com
17	universidad tecnológica nacional	licenciatura en ciencias antropológicas	2020-10-03	lucas	villarreal	male	91	7400	barrio la luisa	joshua15@hotmail.com
18	universidad tecnológica nacional	licenciatura en ciencias de la computación	2021-01-29	linda	bryant	female	39	5383	agua colorada	fwallace@hotmail.com
19	universidad tecnológica nacional	arquitectura	2020-11-13	jennifer	ellis	female	26	1983	gomez	bankschristopher@yahoo.com
20	universidad tecnológica nacional	licenciatura en administración 	2020-09-15	jacob	gibson	male	83	7311	chillar	beverlytucker@hotmail.com
21	universidad tecnológica nacional	licenciatura en planificación y diseño del paisaje	2020-10-04	krystal	sanders	female	100	6537	el camoati	guerratracy@hotmail.com
22	universidad tecnológica nacional	licenciatura en sociología 	2021-01-06	david	harris	male	61	2415	desvio boero	charlotte54@hotmail.com
23	universidad tecnológica nacional	ciencias veterinarias	2020-09-26	matthew	dunn	male	33	8129	17 de agosto	rebecca25@gmail.com
24	universidad tecnológica nacional	licenciatura en ciencia política 	2020-09-09	thomas	hernandez	male	13	3722	2 de mayo	dcooper@gmail.com
25	universidad tecnológica nacional	licenciatura en terapia ocupacional	2020-12-03	deborah	mclaughlin	female	42	2200	las quintas	wilsonerin@yahoo.com
26	universidad tecnológica nacional	licenciatura en planificación y diseño del paisaje	2020-12-29	alexandria	smith	female	13	7408	la colina	jamessilva@yahoo.com
27	universidad tecnológica nacional	licenciatura en ciencias biológicas	2020-12-29	cassandra	mora	female	4	1633	empalme	qmclaughlin@hotmail.com
28	universidad tecnológica nacional	contador público 	2020-09-21	stacey	case	female	63	4109	alto nuestra señora del valle	greenhoward@hotmail.com
29	universidad tecnológica nacional	diseño industrial	2020-09-24	jason	roberts	male	91	8111	arroyo pareja	david84@hotmail.com
30	universidad tecnológica nacional	licenciatura en ciencias de la educación 	2020-09-23	marie	schwartz	female	57	5427	apeadero quiroga	mosleydavid@hotmail.com
31	universidad tecnológica nacional	licenciatura en relaciones del trabajo 	2020-12-24	julie	curtis	female	77	8373	alianza	ellisanthony@gmail.com
32	universidad tecnológica nacional	arquitectura	2020-12-24	chelsea	whitaker	female	17	8417	cañadon chileno	nicolegolden@hotmail.com
33	universidad tecnológica nacional	licenciatura en producción de bioimagenes	2020-12-08	julie	herrera	female	18	3007	empalme san carlos	martincharles@hotmail.com
34	universidad tecnológica nacional	licenciatura en sociología 	2020-09-02	ryan	bowen	male	42	6000	barrio carosio	tyrone84@hotmail.com
35	universidad tecnológica nacional	licenciatura en producción de bioimagenes	2021-01-07	mark	hernandez	male	69	5372	nonogasta	pattersonstephanie@yahoo.com
36	universidad tecnológica nacional	licenciatura en planificación y diseño del paisaje	2020-09-06	jessica	richardson	female	51	6313	bajo de las palomas	hansondavid@gmail.com
37	universidad tecnológica nacional	licenciatura en ciencia y tecnología de alimentos	2020-12-24	cameron	lynch	male	116	8101	calderon	kentbrandon@hotmail.com
38	universidad tecnológica nacional	licenciatura en administración 	2020-09-09	emily	jones	female	38	5471	agua blanca	monicabeasley@yahoo.com
