,university,career,inscription_date,first_name,last_name,gender,age,location,email
0,Universidad-nacional-de-río-cuarto,Farmacia,20/Sep/01,Mr.,adams,M,25/Apr/26,Banderalo,Crystal06@yahoo.com
1,Universidad-nacional-de-río-cuarto,Ingeniería-electrónica,20/Sep/01,Melissa,escobar,F,39/Nov/14,Costa-bonita-balneario,Heather97@gmail.com
2,Universidad-nacional-de-río-cuarto,Agronomía,20/Sep/01,Wayne,vazquez,M,67/Jun/06,Kilometro-77,Ismith@yahoo.com
3,Universidad-nacional-de-río-cuarto,Licenciatura-en-artes,20/Sep/01,Roy,potter,M,12/Jun/11,Campo-la-nena,Ortizstephen@hotmail.com
4,Universidad-nacional-de-río-cuarto,Licenciatura-en-kinesiología-y-fisiatría,20/Sep/01,Valerie,brown,F,27/Nov/12,Otto-bemberg,Colleenschultz@yahoo.com
5,Universidad-nacional-de-río-cuarto,Diseño-de-imagen-y-sonido,20/Sep/01,Robin,boone,F,05/Dec/30,Andalucia,Ramseygeorge@gmail.com
6,Universidad-nacional-de-río-cuarto,Licenciatura-en-producción-de-bioimagenes,20/Sep/01,David,douglas,M,29/Sep/28,Ciudadela,Martha56@gmail.com
7,Universidad-nacional-de-río-cuarto,Actuario-,20/Sep/01,Michael,rodriguez,M,38/Nov/11,Crotto,Hhayes@gmail.com
8,Universidad-nacional-de-río-cuarto,Arquitectura,20/Sep/01,William,jr.,M,54/Nov/19,Arroyo-baru,Brittany64@gmail.com
9,Universidad-nacional-de-río-cuarto,Licenciatura-en-sociología-,20/Sep/01,James,robles,M,13/Jun/02,Almacen-la-colina,Xcooper@gmail.com
10,Universidad-nacional-de-río-cuarto,Ingeniería-mecánica,20/Sep/01,Candice,gonzalez,F,65/Jul/19,Erezcano,Williamsdavid@hotmail.com
11,Universidad-nacional-de-río-cuarto,Licenciatura-en-producción-de-bioimagenes,20/Sep/01,Katie,jensen,F,94/Aug/22,La-bilbaina,Rdoyle@gmail.com
12,Universidad-nacional-de-río-cuarto,Licenciatura-en-terapia-ocupacional,20/Sep/02,Elizabeth,stewart,F,00/Aug/28,Berisso,Ajohnson@gmail.com
13,Universidad-nacional-de-río-cuarto,Diseño-industrial,20/Sep/02,Devon,jones,M,38/May/28,El-pampero,Asanchez@yahoo.com
14,Universidad-nacional-de-río-cuarto,Bioquímica,20/Sep/02,Nicholas,martin,M,18/Jul/04,Curandu,Clarkejonathan@gmail.com
15,Universidad-nacional-de-río-cuarto,Licenciatura-en-kinesiología-y-fisiatría,20/Sep/02,Michael,elliott,M,22/Mar/17,La-isabel,Stoutjames@yahoo.com
16,Universidad-nacional-de-río-cuarto,Medicina,20/Sep/02,Diane,armstrong,F,32/Jul/16,Bosques,Jwalters@yahoo.com
17,Universidad-nacional-de-río-cuarto,Licenciatura-en-gestión-de-agroalimentos,20/Sep/02,Mitchell,jenkins,M,07/Aug/23,Alamo,Joshuastuart@yahoo.com
18,Universidad-nacional-de-río-cuarto,Licenciatura-en-terapia-ocupacional,20/Sep/02,David,brooks,M,94/Sep/03,Fortin-chaco,Qgordon@gmail.com
19,Universidad-nacional-de-río-cuarto,Licenciatura-en-artes,20/Sep/02,Matthew,thomas,M,77/Apr/07,Planicie-banderita,Teresa21@gmail.com
20,Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-de-la-educación-,20/Sep/02,Katherine,mcdowell,F,54/Oct/13,San-andres,Gwells@hotmail.com
21,Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-biológicas,20/Sep/02,Daniel,jones,M,29/Jan/02,Barrio-belgrano-ortiz,Alexandergonzalez@gmail.com
22,Universidad-nacional-de-río-cuarto,Licenciatura-en-administración-,20/Sep/02,Tony,quinn,M,13/Jul/02,Saladillo-norte,Thomas10@hotmail.com
23,Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-de-la-computación,20/Sep/02,Emily,wong,F,19/Feb/03,La-lucila,Warnerjames@hotmail.com
24,Universidad-nacional-de-río-cuarto,Agronomía,20/Sep/02,Alex,holloway,M,17/Mar/11,Baños-pismanta,Whitealyssa@yahoo.com
25,Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencia-política-,20/Sep/02,Theresa,yang,F,02/Aug/07,Curandu,Colleen77@yahoo.com
26,Universidad-nacional-de-río-cuarto,Diseño-de-imagen-y-sonido,20/Sep/02,Tracey,garrett,F,66/Jan/26,Bañado-verde,Justinwhitney@yahoo.com
27,Universidad-nacional-de-río-cuarto,Licenciatura-en-producción-de-bioimagenes,20/Sep/02,Ashley,ward,F,32/Sep/05,Abra-de-pives,Nicoleyoung@yahoo.com
28,Universidad-nacional-de-río-cuarto,Licenciatura-en-producción-de-bioimagenes,20/Sep/02,Daniel,rush,M,51/Sep/11,Colonia-bombal,Gonzalezwalter@yahoo.com
29,Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-de-la-educación-,20/Sep/03,Derek,weber,M,38/Mar/29,Bernardo-de-irigoyen,Nadams@hotmail.com
30,Universidad-nacional-de-río-cuarto,Bioquímica,20/Sep/03,Laura,miller,F,25/Nov/08,Francisco-madero,Duncanmichael@yahoo.com
31,Universidad-nacional-de-río-cuarto,Ingeniería-en-informática,20/Sep/03,Jeffrey,warren,M,29/Nov/23,Capilla-del-señor,Thomas10@hotmail.com
32,Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencia-política-,20/Sep/03,Mary,white,F,27/Mar/05,La-torrecita,Cameronhendricks@hotmail.com
33,Universidad-nacional-de-río-cuarto,Licenciatura-en-sociología-,20/Sep/03,Kyle,fox,M,20/May/18,Arroyo-claro,Theresa63@hotmail.com
34,Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-biológicas,20/Sep/03,Rebecca,cisneros,F,47/Aug/03,Cupiles,Awelch@gmail.com
35,Universidad-nacional-de-río-cuarto,Ciencias-veterinarias,20/Sep/03,Charlene,brown,F,18/Dec/08,Colonia-baron,Albertjones@yahoo.com
36,Universidad-nacional-de-río-cuarto,Licenciatura-en-musicoterapia,20/Sep/03,Tammie,black,F,19/Nov/17,San-clemente-del-tuyu,Jessica76@hotmail.com
37,Universidad-nacional-de-río-cuarto,Ingeniería-en-informática,20/Sep/04,Catherine,vasquez,F,76/Jun/06,Ciudadela,Jane59@gmail.com
38,Universidad-nacional-de-río-cuarto,Ingeniería-electrónica,20/Sep/04,Matthew,hoffman,M,89/Sep/29,Amberes,Flynnjoseph@yahoo.com
39,Universidad-nacional-de-río-cuarto,Licenciatura-en-administración-,20/Sep/04,Robert,harper,M,14/Mar/22,Aguas-de-las-mulas,Hernandezangela@gmail.com
40,Universidad-nacional-de-río-cuarto,Licenciatura-en-producción-de-bioimagenes,20/Sep/04,Karen,williams,F,61/Jul/11,Arquedas,Jennifervega@hotmail.com
41,Universidad-nacional-de-río-cuarto,Arquitectura,20/Sep/04,Megan,grant,F,69/Jun/17,Almirante-solier,Ryanclark@hotmail.com
42,Universidad-nacional-de-río-cuarto,Licenciatura-en-psicología,20/Sep/04,Lindsey,oliver,F,16/Dec/30,Cuesta-del-ternero,Hansondanny@hotmail.com
43,Universidad-nacional-de-río-cuarto,Contador-público-,20/Sep/04,Micheal,shea,M,80/Mar/20,Agua-colorada,Stephen51@gmail.com
44,Universidad-nacional-de-río-cuarto,Ingeniería-mecánica,20/Sep/04,Joshua,villegas,M,29/Jul/23,Cataratas-del-iguazu,Hulltina@hotmail.com
45,Universidad-nacional-de-río-cuarto,Licenciatura-en-terapia-ocupacional,20/Sep/04,Virginia,scott,F,08/Sep/21,Curandu,Brownpenny@hotmail.com
46,Universidad-nacional-de-río-cuarto,Licenciatura-en-artes,20/Sep/04,Nicole,jackson,F,73/Jan/02,Alberto-flores,Allisonsmith@yahoo.com
47,Universidad-nacional-de-río-cuarto,Licenciatura-en-terapia-ocupacional,20/Sep/04,Kristen,sexton,F,81/Aug/05,Colonia-baron,Sierrawise@gmail.com
48,Universidad-nacional-de-río-cuarto,Licenciatura-en-planificación-y-diseño-del-paisaje,20/Sep/04,Tina,smith,F,58/Jun/08,Victoria,Icarroll@hotmail.com
49,Universidad-nacional-de-río-cuarto,Licenciatura-en-artes,20/Sep/04,Danielle,james,F,95/Apr/12,Campo-sabate,Craigfitzpatrick@hotmail.com
50,Universidad-nacional-de-río-cuarto,Licenciatura-en-psicología,20/Sep/05,Deborah,morris,F,76/Mar/12,Camino-centenario-km-11500,Wnewman@yahoo.com
51,Universidad-nacional-de-río-cuarto,Diseño-de-imagen-y-sonido,20/Sep/05,Christopher,pacheco,M,20/Oct/31,Kilmetro-165,George93@yahoo.com
52,Universidad-nacional-de-río-cuarto,Agronomía,20/Sep/05,Johnny,buchanan,M,07/Jun/06,Planicie-banderita,Wilsonelizabeth@gmail.com
53,Universidad-nacional-de-río-cuarto,Contador-público-,20/Sep/05,Heather,lopez,F,73/Mar/03,Colonia-matilde,Mary87@gmail.com
54,Universidad-nacional-de-río-cuarto,Licenciatura-en-gestión-de-agroalimentos,20/Sep/05,Ryan,jenkins,M,90/Nov/26,Colonia-josefa,Nathan34@yahoo.com
55,Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-ambientales,20/Sep/05,John,cole,M,32/Nov/01,Agustin-mosconi,Molinacassidy@yahoo.com
56,Universidad-nacional-de-río-cuarto,Licenciatura-en-ciencias-de-la-educación-,20/Sep/05,Angela,reese,F,97/Aug/13,Alto-verde,Danielleatkins@yahoo.com
57,Universidad-nacional-de-río-cuarto,Agronomía,20/Sep/05,Aaron,strong,M,80/Apr/28,Paso-de-los-andes,Briansanders@gmail.com
58,Universidad-nacional-de-río-cuarto,Ingeniería-electrónica,20/Sep/05,Jason,roach,M,51/Jan/28,Alto-con-zampa,Amandafigueroa@gmail.com
