Unnamed: 0	university	career	inscription_date	first_name	last_name	gender	age	postal_code	email	location
0	universidad de morón	ingeniería mecánica	2020-01-24	veronica	miller	female	4	3224	kristin71@hotmail.com	la blanqueada
1	universidad de morón	licenciatura en ciencias de la educación	2020-08-27	stephen	russo	male	19	6221	harrisonkimberly@gmail.com	ceballos
2	universidad de morón	contador público	2020-07-14	melanie	collins	female	64	1876	seanfisher@hotmail.com	bernal este
3	universidad de morón	licenciatura en artes	2020-10-28	sandra	simpson	female	85	3083	spencermurphy@hotmail.com	grutly
4	universidad de morón	agronomía	2020-12-29	scott	marshall	male	12	8000	lloydkathryn@gmail.com	adela corti
5	universidad de morón	licenciatura en administración	2020-07-24	james	oliver	male	41	6469	asmith@gmail.com	asturias
6	universidad de morón	licenciatura en ciencia y tecnología de alimentos	2020-08-07	colleen	herman	female	71	3474	fkelley@hotmail.com	chavarria
7	universidad de morón	licenciatura en ciencias de la educación	2020-02-23	timothy	johnson	male	100	5623	michaellane@yahoo.com	atuel sud
8	universidad de morón	licenciatura en ciencia y tecnología de alimentos	2020-11-09	robyn	walsh	female	53	4601	dawn84@hotmail.com	corral de piedras
9	universidad de morón	licenciatura en terapia ocupacional	2020-10-20	christopher	wilson	male	13	8345	rowen@yahoo.com	alumine
10	universidad de morón	ciencias veterinarias	2020-10-08	wayne	jackson	male	109	5300	kristenblack@yahoo.com	amilgancho
11	universidad de morón	ciencias veterinarias	2020-12-02	samantha	thompson	female	26	5509	meganolson@hotmail.com	agrelo
12	universidad de morón	arquitectura	2020-10-08	james	lopez	male	26	5589	victor92@yahoo.com	chapanay
13	universidad de morón	diseño de imagen y sonido	2020-03-12	michael	little	male	37	7100	elizabethprice@gmail.com	dolores
14	universidad de morón	diseño de imagen y sonido	2020-07-22	daniel	nunez	male	32	8181	michellemorse@yahoo.com	azopardo
15	universidad de morón	licenciatura en ciencias biológicas	2020-03-23	samuel	davenport	male	78	6022	jamesjackson@hotmail.com	la oriental
16	universidad de morón	licenciatura en artes	2020-04-10	natalie	jackson	female	87	3536	acostanicole@gmail.com	bocas
17	universidad de morón	bioquímica	2020-12-20	benjamin	thomas	male	56	4166	hicksriley@gmail.com	balderrama
18	universidad de morón	licenciatura en ciencias de la educación	2020-03-25	devin	johnson	male	61	8133	hunter66@gmail.com	la rosa
19	universidad de morón	bioquímica	2020-04-27	erin	kent	female	108	5883	shannonjohnson@hotmail.com	alto lindo
20	universidad de morón	licenciatura en musicoterapia	2020-03-28	natasha	adams	female	96	1644	earl75@yahoo.com	victoria
21	universidad de morón	diseño de imagen y sonido	2020-04-02	douglas	smith	male	57	4111	qevans@hotmail.com	aguada
22	universidad de morón	licenciatura en ciencia política	2020-01-13	connie	beck	female	58	5407	thomasbrett@gmail.com	dique toma
23	universidad de morón	licenciatura en ciencias geológicas	2020-01-27	jeremiah	lee	male	111	7401	johnsonteresa@gmail.com	canteras de gregorini
24	universidad de morón	medicina	2020-09-19	karen	willis	female	16	2814	carrie07@gmail.com	alto los cardales
25	universidad de morón	licenciatura en ciencias ambientales	2020-10-08	james	wang	male	43	7167	websterdorothy@yahoo.com	carilo
26	universidad de morón	agronomía	2020-05-09	darlene	stone	female	46	1612	lindsey16@yahoo.com	ingeniero adolfo sourdeaux
27	universidad de morón	diseño de imagen y sonido	2020-02-19	teresa	garcia	female	20	3117	conwaylauren@yahoo.com	aldea san antonio
28	universidad de morón	licenciatura en ciencias de la educación	2020-04-09	daniel	hall	male	96	3246	jasonpoole@gmail.com	achiras
29	universidad de morón	ingeniería mecánica	2020-01-20	tammie	porter	female	23	6311	richard78@yahoo.com	campo de los toros
30	universidad de morón	ingeniería mecánica	2020-04-11	rose	vargas	female	56	5385	ymcintosh@hotmail.com	aguadita
31	universidad de morón	bioquímica	2020-10-28	maria	dds	female	48	7260	kari89@gmail.com	barrio villa saladillo
32	universidad de morón	licenciatura en terapia ocupacional	2020-09-20	amy	warren	female	86	3501	jessicabrown@gmail.com	campo de galnasi
33	universidad de morón	arquitectura	2020-06-22	kayla	simon	female	95	3412	robertoortega@gmail.com	albardon
34	universidad de morón	contador público	2020-02-24	dr.	sims	female	106	9200	agraves@hotmail.com	arroyo pescado
35	universidad de morón	licenciatura en ciencias antropológicas	2020-10-22	michelle	wu	female	3	2760	gking@gmail.com	colonia los tres usaris
36	universidad de morón	licenciatura en relaciones del trabajo	2020-12-08	alexander	harvey	male	83	3557	michael67@hotmail.com	caraguatay
37	universidad de morón	licenciatura en ciencias biológicas	2020-05-28	angela	glover	female	106	8133	shannongray@gmail.com	la rosa
38	universidad de morón	licenciatura en ciencias geológicas	2020-09-18	pedro	sparks	male	80	2347	stephanielittle@hotmail.com	colonia mackinlay
39	universidad de morón	licenciatura en artes	2020-06-11	tara	mercado	female	102	3451	glenntristan@yahoo.com	batelito
40	universidad de morón	licenciatura en gestión de agroalimentos	2020-05-27	jason	house	male	13	3080	bellgary@hotmail.com	colonia pujol
41	universidad de morón	arquitectura	2020-07-16	anthony	sims	male	93	4161	vjensen@yahoo.com	alongo
42	universidad de morón	diseño industrial	2020-05-03	david	phillips	male	53	3374	odaniels@hotmail.com	el porvenir
43	universidad de morón	ciencias veterinarias	2020-08-20	ebony	young	female	107	3248	rodriguezcalvin@yahoo.com	caraguata
44	universidad de morón	licenciatura en producción de bioimagenes	2020-07-20	travis	weber	male	17	7511	nbrooks@yahoo.com	balneario oceano
45	universidad de morón	contador público	2020-12-17	sara	glass	female	40	3244	lawrencejackson@yahoo.com	colonia belga americana
46	universidad de morón	diseño de imagen y sonido	2020-05-05	terry	long	male	54	6407	justin37@yahoo.com	girodias
47	universidad de morón	farmacia	2020-08-18	kathryn	garza	female	64	3176	debra86@gmail.com	estacion sola
48	universidad de morón	licenciatura en ciencias ambientales	2020-09-07	courtney	hopkins	female	23	3486	theresa12@yahoo.com	villa olivari
49	universidad de morón	licenciatura en kinesiología y fisiatría	2020-09-17	lori	gill	female	61	6221	cody67@yahoo.com	ceballos
50	universidad de morón	técnico para bioterios	2020-01-18	tiffany	martinez	female	81	6269	ballarddylan@hotmail.com	la colina
51	universidad de morón	agronomía	2020-01-24	paula	hall	female	108	1612	hernandezcourtney@gmail.com	ingeniero adolfo sourdeaux
52	universidad de morón	licenciatura en gestión de agroalimentos	2020-12-24	christina	thompson	female	69	2500	jacksondesiree@gmail.com	cañada de gomez
53	universidad de morón	licenciatura en ciencias de la computación	2020-04-26	michael	simpson	male	14	7172	amy54@yahoo.com	colonia ferrari
54	universidad de morón	licenciatura en terapia ocupacional	2020-05-27	james	brown	male	4	1771	adrian17@hotmail.com	mercado central
55	universidad de morón	licenciatura en sociología	2020-02-11	david	york	male	41	1814	luis56@gmail.com	barrio 1 de mayo
56	universidad de morón	licenciatura en ciencia política	2020-07-09	jeffrey	stevens	male	16	8351	melanie49@hotmail.com	agrio balsa
57	universidad de morón	ciencias veterinarias	2020-04-02	jeremy	anderson	male	1	3363	jasonheath@hotmail.com	25 de mayo
58	universidad de morón	arquitectura	2020-10-04	brian	harris	male	98	7161	bakersuzanne@gmail.com	labarden
