,university,career,inscription_date,name,gender,nacimiento,location,email
0,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/09/28,jeffrey nash,m,1938/09/07,general rodriguez,bmorgan@hotmail.com
1,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/11/25,melissa reynolds,f,2004/04/15,cabure,jonathon04@hotmail.com
2,universidad tecnológica nacional,licenciatura en sociología ,2021/01/17,leonard weber,m,1936/02/05,mariano acosta,dmercado@yahoo.com
3,universidad tecnológica nacional,arquitectura,2020/10/09,danny brown,m,1972/12/22,remedios de escalada,lisa01@hotmail.com
4,universidad tecnológica nacional,licenciatura en sociología ,2020/11/05,william williams,m,1940/08/12,agua salada,smithemma@gmail.com
5,universidad tecnológica nacional,licenciatura en sociología ,2020/10/08,sierra dean,f,1977/01/09,colonia zapata,lhobbs@gmail.com
6,universidad tecnológica nacional,ingeniería electrónica,2020/09/30,jeffrey martin,m,1983/05/29,barrio la union,steven54@hotmail.com
7,universidad tecnológica nacional,bioquímica,2020/11/05,michael watkins,m,1956/10/15,bajo la cancha,michelle01@hotmail.com
8,universidad tecnológica nacional,licenciatura en ciencia política ,2020/12/04,douglas hogan,m,2008/07/29,puesto de isla,lynchalexis@gmail.com
9,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/11/09,nicole giles,f,2004/06/29,otto bemberg,susanmatthews@hotmail.com
10,universidad tecnológica nacional,técnico para bioterios ,2020/10/03,nicole carr,f,1909/10/08,el tala,robertburns@gmail.com
11,universidad tecnológica nacional,ingeniería en informática,2021/01/11,sandra lucas,f,1931/07/07,puesto de isla,joshua77@yahoo.com
12,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/09/24,nichole lee,f,1999/06/14,alto rio pico,jameswong@hotmail.com
13,universidad tecnológica nacional,farmacia,2020/09/11,hunter murillo,m,1918/09/23,abra de hinojo,pauljamie@yahoo.com
14,universidad tecnológica nacional,bioquímica,2021/01/12,jennifer allen,f,1909/10/20,arroyo aleli,deleontara@hotmail.com
15,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/10/13,debra dixon,f,1950/12/22,el jaguel,weaverroberto@yahoo.com
16,universidad tecnológica nacional,bioquímica,2020/11/24,daniel pacheco,m,2011/08/03,deferrari,tiffanyfisher@gmail.com
17,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/10/03,lucas villarreal,m,1931/11/22,barrio la luisa,joshua15@hotmail.com
18,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021/01/29,linda bryant,f,1983/12/20,agua colorada,fwallace@hotmail.com
19,universidad tecnológica nacional,arquitectura,2020/11/13,jennifer ellis,f,1996/06/17,gomez,bankschristopher@yahoo.com
20,universidad tecnológica nacional,licenciatura en administración ,2020/09/15,jacob gibson,m,1939/12/15,chillar,beverlytucker@hotmail.com
21,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/10/04,krystal sanders,f,1922/03/13,el camoati,guerratracy@hotmail.com
22,universidad tecnológica nacional,licenciatura en sociología ,2021/01/06,david harris,m,1961/02/25,desvio boero,charlotte54@hotmail.com
23,universidad tecnológica nacional,ciencias veterinarias,2020/09/26,matthew dunn,m,1989/06/13,17 de agosto,rebecca25@gmail.com
24,universidad tecnológica nacional,licenciatura en ciencia política ,2020/09/09,thomas hernandez,m,2009/01/09,2 de mayo,dcooper@gmail.com
25,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020/12/03,deborah mclaughlin,f,1980/05/22,las quintas,wilsonerin@yahoo.com
26,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/12/29,alexandria smith,f,2009/08/16,la colina,jamessilva@yahoo.com
27,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/12/29,cassandra mora md,f,2018/09/04,empalme,qmclaughlin@hotmail.com
28,universidad tecnológica nacional,contador público ,2020/09/21,stacey case,f,1959/02/02,alto nuestra señora del valle,greenhoward@hotmail.com
29,universidad tecnológica nacional,diseño industrial,2020/09/24,jason roberts,m,1931/03/18,arroyo pareja,david84@hotmail.com
30,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/09/23,marie schwartz,f,1965/10/21,apeadero quiroga,mosleydavid@hotmail.com
31,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/12/24,julie curtis,f,1945/04/20,alianza,ellisanthony@gmail.com
32,universidad tecnológica nacional,arquitectura,2020/12/24,chelsea whitaker,f,2005/02/19,cañadon chileno,nicolegolden@hotmail.com
33,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/12/08,julie herrera,f,2004/11/06,empalme san carlos,martincharles@hotmail.com
34,universidad tecnológica nacional,licenciatura en sociología ,2020/09/02,ryan bowen,m,1980/03/19,barrio carosio,tyrone84@hotmail.com
35,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2021/01/07,mark hernandez,m,1953/09/22,nonogasta,pattersonstephanie@yahoo.com
36,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/09/06,jessica richardson,f,1971/04/03,bajo de las palomas,hansondavid@gmail.com
37,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/12/24,cameron lynch,m,1906/12/03,calderon,kentbrandon@hotmail.com
38,universidad tecnológica nacional,licenciatura en administración ,2020/09/09,emily jones,f,1984/07/13,agua blanca,monicabeasley@yahoo.com
39,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/10/06,julian green,m,2016/05/16,paso de los andes,sgentry@gmail.com
40,universidad tecnológica nacional,contador público ,2020/09/24,dennis hurst,m,1952/07/04,colonia reina margarita,rebecca05@hotmail.com
41,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/09/16,chelsea white,f,1938/06/29,leubuco,tina40@gmail.com
42,universidad tecnológica nacional,arquitectura,2020/12/29,antonio patel,m,1930/03/13,bosques,irodriguez@gmail.com
43,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/11/17,tyler reed,m,1918/12/06,cuenca,xhernandez@hotmail.com
44,universidad tecnológica nacional,diseño de imagen y sonido,2020/10/21,emily hall,f,1941/10/08,dina huapi,vicki56@yahoo.com
45,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2021/01/08,javier cobb dvm,m,1912/07/28,alejandro petion,loriford@yahoo.com
46,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/11/08,christina porter,f,1984/11/23,pozo navagan,meltonstephen@hotmail.com
47,universidad tecnológica nacional,licenciatura en ciencias ambientales,2021/01/01,jessica mccall,f,2014/05/31,chañarcito,brianrobinson@hotmail.com
48,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/09/24,jared larson,m,1994/09/25,carbometal,taylor96@gmail.com
49,universidad tecnológica nacional,licenciatura en ciencias ambientales,2021/01/01,darren lee md,m,1968/08/14,arroyo palmar,evanskatherine@yahoo.com
50,universidad tecnológica nacional,bioquímica,2020/10/28,jay conway,m,1998/08/13,colonia la oracion,karenmendoza@yahoo.com
51,universidad tecnológica nacional,contador público ,2020/12/13,jon gordon,m,1960/04/20,bajastine,agonzalez@yahoo.com
52,universidad tecnológica nacional,técnico para bioterios ,2020/10/03,anthony johnson,m,1915/10/03,encina,eryan@hotmail.com
53,universidad tecnológica nacional,licenciatura en psicología,2020/09/11,greg wells,m,1938/10/24,claudio c molina,trodriguez@hotmail.com
54,universidad tecnológica nacional,diseño de imagen y sonido,2020/09/29,aaron vance,m,1927/11/02,campo medina,dnavarro@hotmail.com
55,universidad tecnológica nacional,ingeniería en informática,2021/01/16,dale martinez,m,2005/08/11,13 de enero,pstanton@hotmail.com
56,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021/01/29,dale huynh,m,1991/04/08,colonia matilde,wsingh@hotmail.com
57,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/09/25,timothy norman,m,1929/04/24,el jumeal,tnichols@yahoo.com
58,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/10/31,paul evans,m,1950/07/22,aguada de la peña,zking@hotmail.com
59,universidad tecnológica nacional,licenciatura en ciencia política ,2020/09/05,christian sanders,m,1984/02/01,coronel charlone,fwiggins@yahoo.com
60,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/10/09,nicole wells,f,1918/12/26,barlett,gailunderwood@yahoo.com
61,universidad tecnológica nacional,licenciatura en sociología ,2020/09/12,george thompson,m,1939/01/30,azul,andrewsnyder@hotmail.com
62,universidad tecnológica nacional,diseño de imagen y sonido,2020/11/26,joseph wall,m,1948/10/01,los molinos,gtucker@yahoo.com
63,universidad tecnológica nacional,contador público ,2020/11/12,tiffany molina,f,1948/12/07,algarrobal abajo,brianduncan@hotmail.com
64,universidad tecnológica nacional,farmacia,2020/11/26,julia lopez,f,2002/12/03,blanca grande,kray@gmail.com
65,universidad tecnológica nacional,agronomía,2020/10/10,benjamin moore,m,1928/10/07,cailomuta,richardsonashley@gmail.com
66,universidad tecnológica nacional,diseño de imagen y sonido,2021/01/25,steven sexton,m,1955/03/14,aero club canal,hendersonlinda@hotmail.com
67,universidad tecnológica nacional,farmacia,2020/10/22,margaret johnson,f,2019/06/06,colonia sere,rioskevin@yahoo.com
68,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020/10/27,john smith,m,1969/06/06,azteazu,vegajuan@yahoo.com
69,universidad tecnológica nacional,licenciatura en ciencia política ,2020/11/11,paul johnson,m,1983/02/19,carbometal,emilydonaldson@hotmail.com
70,universidad tecnológica nacional,actuario ,2021/01/02,leah williams,f,2000/07/15,cabaña el cisne,trevinokenneth@gmail.com
71,universidad tecnológica nacional,ingeniería mecánica,2020/10/25,zachary hurley,m,2007/11/05,ambrosio p lezica,john64@gmail.com
72,universidad tecnológica nacional,licenciatura en administración ,2020/11/22,isabella gibson,f,1999/10/26,cazon,luis27@gmail.com
73,universidad tecnológica nacional,bioquímica,2020/09/06,mark estrada,m,1979/01/14,dock sud,collin60@yahoo.com
74,universidad tecnológica nacional,actuario ,2020/10/01,hunter buck,m,1972/08/24,longchamps,wdudley@gmail.com
75,universidad tecnológica nacional,medicina,2021/01/12,christine huerta,f,1945/05/31,el potrero,justin29@gmail.com
76,universidad tecnológica nacional,diseño industrial,2020/12/18,felicia bautista,f,1946/09/18,casablanca,robert75@hotmail.com
77,universidad tecnológica nacional,diseño de imagen y sonido,2020/12/30,david yu,m,2008/12/19,villa hipodromo,jwillis@yahoo.com
78,universidad tecnológica nacional,licenciatura en musicoterapia,2020/11/20,maria hale,f,1974/07/08,los cardos,friedmankristen@hotmail.com
79,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/11/11,katelyn white,f,1981/04/24,carrizales,jaimerivers@gmail.com
80,universidad tecnológica nacional,agronomía,2020/09/15,mark cook,m,1916/10/23,ingeniero de madrid,kellymartinez@yahoo.com
81,universidad tecnológica nacional,ingeniería electrónica,2021/01/16,margaret chavez,f,1945/03/28,alto verde,iyoung@gmail.com
82,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/11/12,malik ball,m,1911/09/23,villa adelina,zaguilar@gmail.com
83,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/12/30,mike kim,m,1920/08/14,valle hondo,brownzachary@gmail.com
84,universidad tecnológica nacional,licenciatura en musicoterapia,2020/09/04,emma jackson,f,1983/10/07,kilometro 125,mackamanda@yahoo.com
85,universidad tecnológica nacional,ingeniería mecánica,2020/09/04,jeffrey sandoval,m,1962/09/16,perez,tammy71@hotmail.com
86,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/10/30,betty bishop,f,1982/07/14,agrelo,kristen05@yahoo.com
87,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/12/26,tammy petersen,f,2003/01/31,caminera samborombon,acarter@gmail.com
88,universidad tecnológica nacional,arquitectura,2020/09/30,justin lopez,m,2000/10/08,el trebol,lauragriffith@yahoo.com
89,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/09/02,megan booker,f,1954/06/13,arbol solo,kingchase@gmail.com
90,universidad tecnológica nacional,licenciatura en administración ,2020/11/01,jose ewing,m,1986/02/20,alizal,zblankenship@gmail.com
91,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020/11/26,tiffany bates,f,2007/07/10,cascada,grichards@gmail.com
92,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/12/06,russell gomez,m,1962/06/18,boliche lata,rogersdouglas@hotmail.com
93,universidad tecnológica nacional,licenciatura en ciencia política ,2020/12/21,desiree edwards,f,1908/01/03,acostilla,tdodson@hotmail.com
94,universidad tecnológica nacional,técnico para bioterios ,2021/01/15,thomas thompson,m,1951/12/15,amalia,amy82@hotmail.com
95,universidad tecnológica nacional,licenciatura en administración ,2020/12/11,samantha briggs,f,1907/09/18,san antonio de obligado,mia12@hotmail.com
96,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/11/19,stacey lee,f,2002/06/21,benitez,chavezmichael@hotmail.com
97,universidad tecnológica nacional,contador público ,2020/10/08,katie cain,f,1931/08/12,cañada de gomez,brian98@gmail.com
98,universidad tecnológica nacional,diseño industrial,2021/01/27,tony hall,m,2003/03/25,4 de noviembre,ksmith@hotmail.com
99,universidad tecnológica nacional,ingeniería en informática,2020/09/14,troy martin,m,1915/03/15,abra guazu,kurtroberson@gmail.com
100,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/11/09,christopher everett,m,1934/10/04,cazon,qlucas@hotmail.com
101,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/11/10,jason rice,m,1985/05/26,apoyaco,stevenjames@yahoo.com
102,universidad tecnológica nacional,farmacia,2021/01/29,john williams,m,1971/02/20,angostura,cynthiacarlson@hotmail.com
103,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/12/24,kristen brown,f,1958/05/17,alvarez,ygomez@hotmail.com
104,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020/09/26,mrs. crystal miller,f,1906/03/28,arroyo corralito,andrewthompson@hotmail.com
105,universidad tecnológica nacional,ingeniería electrónica,2020/12/16,leslie harris,f,2013/10/11,16 de julio,ericalewis@gmail.com
106,universidad tecnológica nacional,medicina,2020/11/02,amy warner,f,1966/04/29,arana,robertphelps@hotmail.com
107,universidad tecnológica nacional,licenciatura en psicología,2020/12/09,jennifer schroeder,f,1992/02/13,agua linda,ebraun@hotmail.com
108,universidad tecnológica nacional,actuario ,2020/12/25,sydney jackson,f,1943/08/18,kilometro 47,austinhannah@gmail.com
109,universidad tecnológica nacional,licenciatura en administración ,2021/01/29,jason austin,m,1948/09/17,ireneo portela,cooperchelsea@gmail.com
110,universidad tecnológica nacional,licenciatura en administración ,2020/09/14,jacob white,m,1918/04/21,cara mala,david71@yahoo.com
111,universidad tecnológica nacional,ciencias veterinarias,2020/12/07,dylan brown,m,1955/07/28,villa lerga,heidihuang@gmail.com
112,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/09/13,andrew mcdonald,m,1933/05/16,san marcelo,megangray@yahoo.com
113,universidad tecnológica nacional,licenciatura en psicología,2020/10/12,karen wagner,f,1930/09/24,las hermanas,hayesmary@gmail.com
114,universidad tecnológica nacional,ingeniería mecánica,2021/01/11,christopher rivera,m,1914/02/25,dos hermanos,dawn99@hotmail.com
115,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2021/01/20,holly obrien,f,1943/08/13,grutly,joanfrost@gmail.com
116,universidad tecnológica nacional,licenciatura en psicología,2020/09/28,amy hanson,f,2018/01/24,12 de octubre,chelseachavez@gmail.com
117,universidad tecnológica nacional,ingeniería mecánica,2020/09/06,heather pearson,f,2000/12/12,abra del tafi,regina45@yahoo.com
118,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/09/26,chase rodriguez,m,1971/06/04,el carbalino,daniel30@yahoo.com
119,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/11/22,debra taylor,f,1939/09/08,candelaria sud,donnawalker@gmail.com
120,universidad tecnológica nacional,ciencias veterinarias,2020/11/25,tina garcia,f,2008/08/22,ampacama,zking@yahoo.com
121,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/09/17,lisa nolan,f,1924/02/09,dho,christine59@gmail.com
122,universidad tecnológica nacional,licenciatura en artes,2021/01/13,jack roberts,m,1947/09/24,lehmann,krystal98@gmail.com
123,universidad tecnológica nacional,ingeniería mecánica,2020/10/09,brandon rhodes,m,1941/06/07,gobernador lanusse,amandascott@yahoo.com
124,universidad tecnológica nacional,licenciatura en artes,2020/09/21,april swanson,f,1947/06/22,campo el bermejo,lopeznicole@yahoo.com
125,universidad tecnológica nacional,agronomía,2020/10/19,edward randolph,m,1989/05/05,estacion saguier,jleon@gmail.com
126,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/10/28,jacob cruz,m,1944/07/19,drabble,stonemelissa@yahoo.com
127,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/10/04,pamela cherry,f,1959/09/09,cañada la rica,thomashill@hotmail.com
128,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/09/19,mark smith,m,1964/06/04,gobernador crespo,bgrimes@hotmail.com
129,universidad tecnológica nacional,arquitectura,2020/12/02,denise stephens,f,1941/02/16,barcena,naustin@yahoo.com
130,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/09/04,brittany boyd,f,1987/04/24,moron,gcunningham@hotmail.com
131,universidad tecnológica nacional,ingeniería mecánica,2021/01/28,christina moses,f,1960/06/16,fortin chaco,amymiller@hotmail.com
132,universidad tecnológica nacional,arquitectura,2020/12/10,thomas cook,m,1917/08/17,campana,david32@yahoo.com
133,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/10/21,debra perez,f,1943/11/10,chimpay,dawsonleroy@gmail.com
134,universidad tecnológica nacional,licenciatura en psicología,2020/09/29,amy houston,f,2007/10/21,alto del saladillo,cathy97@hotmail.com
135,universidad tecnológica nacional,licenciatura en ciencia política ,2021/01/23,john reeves,m,1983/02/13,banfield,melissaodonnell@yahoo.com
136,universidad tecnológica nacional,bioquímica,2020/11/04,stacy smith dds,f,1995/09/29,bravo del dos,jodihill@hotmail.com
137,universidad tecnológica nacional,arquitectura,2020/11/12,william jacobson,m,2015/12/29,colonia berlin,robert57@gmail.com
138,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020/09/16,julie christensen,f,1946/04/24,algarrobal puisoye,billy46@yahoo.com
139,universidad tecnológica nacional,licenciatura en sociología ,2020/09/08,amy shah,f,1937/09/27,alamo,michael95@yahoo.com
140,universidad tecnológica nacional,ingeniería mecánica,2020/09/13,thomas sheppard,m,1938/06/27,el perdido est jose guisasola,fwilson@yahoo.com
141,universidad tecnológica nacional,bioquímica,2020/12/05,lisa hartman,f,1997/07/16,20 de septiembre,joshua37@gmail.com
142,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/10/05,terry zimmerman,f,1968/01/08,la ines,samuel35@yahoo.com
143,universidad tecnológica nacional,bioquímica,2020/10/10,julie kim,f,1987/01/04,argerich,cunninghammelissa@hotmail.com
144,universidad tecnológica nacional,diseño de imagen y sonido,2020/11/19,mark cervantes md,m,1966/03/10,balneario chapalco,josephthompson@gmail.com
145,universidad tecnológica nacional,actuario ,2020/11/10,mckenzie lynch,f,2002/01/25,colonia clara,randy39@hotmail.com
146,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/09/02,christina green,f,2004/04/25,isla gran malvina,christopherscott@yahoo.com
147,universidad tecnológica nacional,contador público ,2020/09/21,daniel hubbard,m,1968/07/05,balcarce,dukedominic@gmail.com
