,university,career,inscription_date,nombre,sexo,birth_date,location,email
0,universidad nacional de jujuy,licenciatura en psicología,2020/09/01,brian clarke,m,1997/01/30,libano,daniel03@yahoo.com
1,universidad nacional de jujuy,bioquímica,2020/09/01,elizabeth lyons,f,1959/06/16,colonia bertozzi,ythompson@hotmail.com
2,universidad nacional de jujuy,agronomía,2020/09/01,christopher austin,m,1992/06/28,azteazu,joshuastevens@hotmail.com
3,universidad nacional de jujuy,técnico para bioterios ,2020/09/01,travis benson,m,1919/05/14,abra pampa,sbaker@gmail.com
4,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020/09/01,christopher moss,m,1946/11/18,achiras,normansarah@hotmail.com
5,universidad nacional de jujuy,licenciatura en ciencias biológicas,2020/09/01,wendy lee,f,1960/06/15,colonia beaufort,amandavalencia@hotmail.com
6,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020/09/01,jade parrish,f,1937/08/05,america unida,gonzalesaustin@hotmail.com
7,universidad nacional de jujuy,bioquímica,2020/09/01,martin solomon,m,1954/10/15,almirante brown,marksmith@hotmail.com
8,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020/09/01,andre white,m,1963/07/25,altona,rubiojessica@yahoo.com
9,universidad nacional de jujuy,actuario ,2020/09/02,donald padilla,m,2014/12/30,almirante brown,kathryncohen@hotmail.com
10,universidad nacional de jujuy,licenciatura en administración ,2020/09/02,megan fowler,f,1926/07/20,bella vista,ericellis@yahoo.com
11,universidad nacional de jujuy,actuario ,2020/09/02,william macias,m,2011/12/12,los indios,kaylee92@yahoo.com
12,universidad nacional de jujuy,licenciatura en ciencia política ,2020/09/02,ryan allen,m,2007/07/31,alicura,pamela24@hotmail.com
13,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/09/02,joanna lopez,f,1995/01/12,adela corti,larastephanie@hotmail.com
14,universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/09/02,jessica valentine,f,1912/10/07,30 de octubre,garrettgomez@hotmail.com
15,universidad nacional de jujuy,contador público ,2020/09/02,lisa boone,f,1988/03/15,caminera napaleofu,zmcgrath@gmail.com
16,universidad nacional de jujuy,licenciatura en ciencia política ,2020/09/02,marc jones,m,1945/10/24,juancho,amy88@yahoo.com
17,universidad nacional de jujuy,licenciatura en ciencias de la computación,2020/09/02,andrew bishop,m,1937/01/02,aldea san andres,jacquelinebailey@yahoo.com
