,universidad,carrera,fecha_de_inscripcion,nombre_de_usuario,sexo,fecha_nacimiento,codigo_postal,direccion,correo_electronico
0,UNIVERSIDAD DE FLORES,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,2020-11-01,UBROWN,F,1922-03-18,6200,"900 MAYO LIGHT
BAKERCHESTER, IA 10691",MICHAEL67@GMAIL.COM
1,UNIVERSIDAD DE FLORES,INGENIERÍA EN INFORMÁTICA,2020-12-09,JACOBHARPER,M,1939-09-29,1633,"3117 CURTIS ALLEY
SOUTH WILLIEPORT, IN 36546",KHODGES@GMAIL.COM
2,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,2020-09-11,MATTHEWWONG,F,1991-05-12,5777,"072 CYNTHIA GROVE APT. 356
EAST LAURASIDE, TN 76437",DMADDEN@HOTMAIL.COM
3,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-09-18,OWENSHALEY,M,1952-04-02,4605,"139 EVANS FREEWAY APT. 860
MARSHALLMOUTH, NM 37988",WWEBB@HOTMAIL.COM
4,UNIVERSIDAD DE FLORES,DISEÑO DE IMAGEN Y SONIDO,2020-09-06,OCOOPER,M,1955-03-26,5381,"1637 HENRY PORTS SUITE 461
EAST TIFFANYBURY, WY 75509",CHRISTOPHER00@YAHOO.COM
5,UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-12-22,DANIELDEAN,M,2004-02-27,5622,"853 FLORES HILLS SUITE 959
NEW THOMAS, NJ 15969",ALICIAPEARSON@HOTMAIL.COM
6,UNIVERSIDAD DE FLORES,DISEÑO INDUSTRIAL,2020-12-22,JVILLEGAS,F,1916-07-28,3308,"17944 JUSTIN PASSAGE
HERNANDEZTON, NM 44342",ELIZABETH50@HOTMAIL.COM
7,UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-10-19,RANDY58,F,1955-09-27,5622,"273 MARK MANORS SUITE 752
LAKE MICHAELVILLE, OK 26139",RREILLY@HOTMAIL.COM
8,UNIVERSIDAD DE FLORES,BIOQUÍMICA,2020-11-20,WGORDON,M,2006-04-29,2508,"808 SIMPSON RIDGE
SOUTH VICTORIA, IN 40139",KIMANN@HOTMAIL.COM
9,UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-09-08,AMANDARANGEL,M,2008-05-21,4163,"455 VALENZUELA EXTENSIONS APT. 429
MICHAELLAND, WI 68300",LESLIE97@GMAIL.COM
10,UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-11-11,JEFFREY54,F,1939-05-20,3328,"470 STACY LODGE
JACKIECHESTER, WV 78792",MARK19@HOTMAIL.COM
