universidades,carreras,fechas_de_inscripcion,nombres,sexo,fechas_nacimiento,codigos_postales,emails
universidad-de-buenos-aires,actuario-,20-Sep-24,amy-wallace,f,21-Mar-12,8431,brookejones@yahoo.com
universidad-de-buenos-aires,licenciatura-en-gestión-de-agroalimentos,20-Sep-27,angela-hudson,f,05-Feb-21,3151,cpatterson@yahoo.com
universidad-de-buenos-aires,medicina,20-Oct-18,jessica-sandoval,f,45-Sep-12,6601,melinda04@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-antropológicas,20-Sep-20,david-cooper,m,29-Aug-01,6105,lukegutierrez@yahoo.com
universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Dec-12,benjamin-nicholson,m,68-Jun-05,5345,bgonzalez@hotmail.com
universidad-de-buenos-aires,licenciatura-en-terapia-ocupacional,20-Dec-04,douglas-boyer,m,13-May-09,3580,taylor62@yahoo.com
universidad-de-buenos-aires,licenciatura-en-ciencias-de-la-educación-,20-Sep-18,kenneth-wright,m,49-Aug-12,7172,butlermartha@gmail.com
universidad-de-buenos-aires,técnico-para-bioterios-,21-Jan-28,heather-bradford,f,17-Nov-02,6422,nicole86@yahoo.com
universidad-de-buenos-aires,ingeniería-electrónica,21-Jan-27,mary-smith,f,89-Sep-13,8113,margaret65@yahoo.com
universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Nov-04,pamela-delgado,f,88-Sep-17,5557,stefanie45@hotmail.com
universidad-de-buenos-aires,licenciatura-en-administración-,20-Nov-24,paul-myers,m,23-Nov-14,5407,ypayne@yahoo.com
universidad-de-buenos-aires,medicina,21-Jan-15,amy-hurst,f,80-Dec-29,4129,akeller@gmail.com
universidad-de-buenos-aires,medicina,20-Oct-24,jessica-davis,f,09-Dec-30,4124,barbaranash@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-geológicas,21-Jan-04,kimberly-banks,f,93-Aug-15,5591,timothyfoster@gmail.com
universidad-de-buenos-aires,licenciatura-en-terapia-ocupacional,20-Nov-02,stephanie-gates,f,44-Aug-17,6433,carlashepherd@yahoo.com
universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Dec-16,daniel-harrell,m,58-Nov-10,8308,lvelasquez@gmail.com
universidad-de-buenos-aires,contador-público-,20-Nov-13,justin-gonzalez,m,74-Nov-04,5541,oconnorbrenda@yahoo.com
universidad-de-buenos-aires,ingeniería-mecánica,20-Nov-25,ethan-pierce,m,48-Feb-11,7161,reynoldsmegan@yahoo.com
universidad-de-buenos-aires,medicina,20-Dec-24,cody-robbins,m,11-Jan-01,6634,hjackson@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencia-y-tecnología-de-alimentos,20-Dec-15,justin-lewis,m,74-Oct-08,3196,gjensen@hotmail.com
universidad-de-buenos-aires,licenciatura-en-artes,20-Dec-11,chelsea-bond,f,96-Oct-24,1614,quinnlonnie@gmail.com
universidad-de-buenos-aires,diseño-de-imagen-y-sonido,20-Nov-10,michelle-mccullough,f,24-Jun-22,3155,jennifer34@yahoo.com
universidad-de-buenos-aires,bioquímica,20-Nov-01,scott-cox,m,21-Oct-15,1636,james05@hotmail.com
universidad-de-buenos-aires,farmacia,20-Sep-19,michael-smith,m,97-Feb-15,1754,alexandertiffany@gmail.com
universidad-de-buenos-aires,ingeniería-en-informática,21-Jan-26,brittney-smith,f,68-Jul-23,3226,anne23@yahoo.com
universidad-de-buenos-aires,ingeniería-en-informática,20-Sep-03,ronald-martin-md,m,35-Jun-22,7533,fgriffin@yahoo.com
universidad-de-buenos-aires,licenciatura-en-ciencia-política-,20-Nov-08,jonathan-howell,m,60-Aug-09,3471,michaelnicholson@yahoo.com
universidad-de-buenos-aires,licenciatura-en-administración-,20-Dec-28,samantha-dixon,f,84-Jan-30,5831,jessica62@gmail.com
universidad-de-buenos-aires,licenciatura-en-psicología,20-Sep-17,melanie-gray,f,14-Mar-22,3222,joshua82@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-de-la-educación-,20-Dec-08,jordan-cole,m,33-May-23,9217,deanhernandez@yahoo.com
universidad-de-buenos-aires,medicina,20-Oct-12,alexander-smith,m,54-May-08,1688,lsmith@hotmail.com
universidad-de-buenos-aires,medicina,20-Oct-03,amber-leonard,f,14-Aug-12,9407,glopez@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-antropológicas,20-Sep-09,dawn-sellers,f,85-Sep-20,6323,douglasstevens@yahoo.com
universidad-de-buenos-aires,licenciatura-en-artes,21-Jan-22,joseph-reed,m,25-Jan-28,6233,molly37@yahoo.com
universidad-de-buenos-aires,licenciatura-en-artes,20-Nov-30,amanda-cardenas,f,03-Sep-19,1603,tannersara@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencia-y-tecnología-de-alimentos,20-Sep-24,amanda-sawyer,f,14-Aug-01,7404,ricejeffrey@yahoo.com
universidad-de-buenos-aires,ingeniería-mecánica,20-Nov-13,tiffany-barnes,f,83-Apr-22,5632,douglas71@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencia-y-tecnología-de-alimentos,20-Oct-08,james-anderson,m,05-Jan-18,9227,tristan99@hotmail.com
universidad-de-buenos-aires,licenciatura-en-terapia-ocupacional,20-Sep-28,christopher-robertson,m,09-Feb-20,3315,catherinecasey@hotmail.com
universidad-de-buenos-aires,bioquímica,20-Sep-28,jennifer-bryan,f,96-Jun-02,4117,debra42@yahoo.com
universidad-de-buenos-aires,arquitectura,21-Jan-01,terry-pitts,m,42-Dec-14,5471,gabrielsimmons@hotmail.com
universidad-de-buenos-aires,ciencias-veterinarias,21-Jan-28,sean-white,m,33-Apr-10,2505,ustewart@gmail.com
universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Dec-10,mackenzie-jackson,f,83-Oct-22,9050,brianlewis@yahoo.com
universidad-de-buenos-aires,licenciatura-en-psicología,21-Jan-14,gregory-rios,m,80-May-17,7203,haroldguzman@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-de-la-computación,20-Nov-26,jon-mcneil,m,24-Jan-30,2930,jacobbass@yahoo.com
universidad-de-buenos-aires,licenciatura-en-ciencia-y-tecnología-de-alimentos,20-Dec-29,diana-watkins,f,49-May-21,3734,lmiles@hotmail.com
universidad-de-buenos-aires,licenciatura-en-sociología-,20-Sep-11,kathy-spears,f,19-Aug-10,4103,louis25@yahoo.com
universidad-de-buenos-aires,diseño-de-imagen-y-sonido,20-Oct-24,amanda-fowler,f,54-Jul-06,9033,fphillips@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-biológicas,20-Dec-17,antonio-jones,m,07-Apr-22,2618,zpatrick@gmail.com
universidad-de-buenos-aires,licenciatura-en-planificación-y-diseño-del-paisaje,21-Jan-30,nicholas-fuller,m,27-Dec-15,1659,jonathan83@gmail.com
universidad-de-buenos-aires,ingeniería-en-informática,21-Jan-08,jamie-taylor,f,03-Aug-24,6400,jonesgordon@gmail.com
universidad-de-buenos-aires,medicina,20-Dec-06,samantha-richardson,f,47-Aug-31,8351,edwardscorey@yahoo.com
universidad-de-buenos-aires,ingeniería-en-informática,20-Dec-25,scott-castro,m,07-Apr-13,8332,ghall@yahoo.com
universidad-de-buenos-aires,diseño-industrial,20-Oct-27,thomas-brooks,m,03-May-28,1617,jaclyn17@yahoo.com
universidad-de-buenos-aires,técnico-para-bioterios-,20-Sep-30,willie-taylor,m,88-Jun-30,9101,victor22@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-antropológicas,20-Nov-05,brian-wilson-dds,m,30-Nov-09,8402,jonesbrandy@hotmail.com
universidad-de-buenos-aires,licenciatura-en-relaciones-del-trabajo-,20-Oct-11,brittney-brewer,f,62-Feb-10,6430,lwilliams@gmail.com
universidad-de-buenos-aires,licenciatura-en-relaciones-del-trabajo-,20-Oct-13,robin-carter,f,19-Jul-12,7174,gwhite@yahoo.com
universidad-de-buenos-aires,licenciatura-en-psicología,20-Sep-13,jacqueline-rodriguez,f,75-May-07,6561,pbecker@hotmail.com
universidad-de-buenos-aires,licenciatura-en-psicología,20-Dec-06,ariana-torres,f,09-May-30,3518,pamela66@hotmail.com
universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Sep-10,brendan-jimenez-md,m,73-Nov-09,5572,lisa86@gmail.com
universidad-de-buenos-aires,actuario-,20-Sep-17,stephanie-goodman,f,87-Feb-03,3052,barbara55@yahoo.com
universidad-de-buenos-aires,farmacia,20-Oct-11,christine-bond,f,08-Dec-27,2761,joelzamora@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-biológicas,20-Oct-09,thomas-padilla,m,83-Dec-27,5710,jane70@yahoo.com
universidad-de-buenos-aires,farmacia,20-Sep-24,peggy-jensen,f,66-Aug-02,6042,rebeccalogan@yahoo.com
universidad-de-buenos-aires,licenciatura-en-musicoterapia,20-Oct-18,christina-watson,f,08-Feb-25,7531,fletcherpaul@hotmail.com
universidad-de-buenos-aires,contador-público-,20-Nov-06,samuel-richardson,m,76-Jun-07,1826,rachelfletcher@hotmail.com
universidad-de-buenos-aires,bioquímica,20-Sep-10,donna-fisher,f,18-Apr-30,6600,michelecurtis@yahoo.com
universidad-de-buenos-aires,licenciatura-en-psicología,21-Jan-24,travis-kelly,m,13-Sep-13,3183,carolynpadilla@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-ambientales,20-Sep-28,james-jones,m,28-May-30,1896,coledanielle@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencia-política-,20-Oct-02,jaclyn-riley,f,29-Dec-07,6073,velazquezgregory@yahoo.com
universidad-de-buenos-aires,licenciatura-en-artes,20-Nov-03,joy-mendoza,f,84-Dec-02,5584,whitepamela@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-ambientales,21-Jan-29,alejandro-horton,m,18-Aug-10,4713,elizabeth53@gmail.com
universidad-de-buenos-aires,ingeniería-electrónica,20-Oct-14,jamie-macias,f,04-Oct-01,5835,dianaknox@hotmail.com
universidad-de-buenos-aires,farmacia,20-Sep-28,michael-griffith,m,24-Sep-23,9223,lisagutierrez@gmail.com
universidad-de-buenos-aires,licenciatura-en-producción-de-bioimagenes,21-Jan-16,michael-english,m,02-Apr-24,5381,flemingdavid@yahoo.com
universidad-de-buenos-aires,licenciatura-en-psicología,21-Jan-04,joshua-spencer,m,49-Dec-03,1822,nsingleton@hotmail.com
universidad-de-buenos-aires,actuario-,20-Nov-29,natalie-berry,f,85-Jul-11,3180,michaelbauer@hotmail.com
universidad-de-buenos-aires,licenciatura-en-terapia-ocupacional,20-Sep-23,adrian-blevins,m,14-Jun-28,4631,walkerkevin@gmail.com
universidad-de-buenos-aires,licenciatura-en-psicología,20-Sep-09,stephanie-padilla,f,92-Jul-17,1881,oneillmichael@yahoo.com
universidad-de-buenos-aires,ciencias-veterinarias,21-Jan-04,christopher-parker,m,99-Jul-31,1611,ronaldvaughn@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencia-y-tecnología-de-alimentos,21-Jan-05,beverly-sanders,f,74-Jan-02,8364,tbaker@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencia-política-,20-Sep-30,nicole-brown,f,44-Oct-21,6507,john33@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencia-y-tecnología-de-alimentos,20-Nov-10,gabrielle-lee,f,16-Jul-19,1649,matthewslindsay@gmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-antropológicas,20-Nov-23,cindy-dixon,f,78-May-16,6269,mmiller@yahoo.com
