university	career	inscription_date	gender	age	postal_code	location	email	first_name	last_name
universidad de flores	licenciatura en kinesiología y fisiatría	2020-11-01	female	100		900 mayo light bakerchester, ia 10691	michael67@gmail.com		
universidad de flores	ingeniería en informática	2020-12-09	male	82		3117 curtis alley south willieport, in 36546	khodges@gmail.com		
universidad de flores	licenciatura en ciencias antropológicas	2020-09-11	female	30		072 cynthia grove apt. 356 east lauraside, tn 76437	dmadden@hotmail.com		
universidad de flores	licenciatura en ciencias ambientales	2020-09-18	male	70		139 evans freeway apt. 860 marshallmouth, nm 37988	wwebb@hotmail.com		
universidad de flores	diseño de imagen y sonido	2020-09-06	male	67		1637 henry ports suite 461 east tiffanybury, wy 75509	christopher00@yahoo.com		
universidad de flores	licenciatura en planificación y diseño del paisaje	2020-12-22	male	18		853 flores hills suite 959 new thomas, nj 15969	aliciapearson@hotmail.com		
universidad de flores	diseño industrial	2020-12-22	female	105		17944 justin passage hernandezton, nm 44342	elizabeth50@hotmail.com		
universidad de flores	licenciatura en planificación y diseño del paisaje	2020-10-19	female	66		273 mark manors suite 752 lake michaelville, ok 26139	rreilly@hotmail.com		
universidad de flores	bioquímica	2020-11-20	male	15		808 simpson ridge south victoria, in 40139	kimann@hotmail.com		
universidad de flores	licenciatura en ciencias ambientales	2020-09-08	male	13		455 valenzuela extensions apt. 429 michaelland, wi 68300	leslie97@gmail.com		
universidad de flores	licenciatura en planificación y diseño del paisaje	2020-11-11	female	82		470 stacy lodge jackiechester, wv 78792	mark19@hotmail.com		
universidad de flores	licenciatura en ciencias biológicas	2020-12-04	female	18		5672 terri club north jeff, va 78893	kellyjordan@yahoo.com		
universidad de flores	licenciatura en sociología	2021-01-16	male	111		709 solomon common hendrickstown, wv 83630	mpowell@gmail.com		
universidad de flores	agronomía	2021-01-18	male	12		51586 jones passage suite 626 lake jeanne, in 62769	victor43@yahoo.com		
universidad de flores	farmacia	2020-12-27	female	63		863 rickey fort west sheri, ct 74767	mdavis@yahoo.com		
