university	career	inscription_date	gender	age	location	email	first_name	last_name	postal_code
universidad nacional de villa maría	licenciatura en ciencia política	2020-09-15	male	6	594 alvarado street suite 945 chanside, il 06393	richard21@hotmail.com			
universidad nacional de villa maría	licenciatura en planificación y diseño del paisaje	2020-09-20	female	-46	9556 ryan ford port devinborough, ut 80704	jdalton@hotmail.com			
universidad nacional de villa maría	licenciatura en sociología	2020-12-26	male	34	7615 hays cove apt. 447 christinebury, la 00827	juanmay@hotmail.com			
universidad nacional de villa maría	licenciatura en ciencias de la computación	2020-10-29	female	14	36685 patton estates apt. 781 bryanborough, tx 27488	itorres@yahoo.com			
universidad nacional de villa maría	bioquímica	2020-10-26	female	-40	86991 timothy valleys matthewview, ms 38879	tiffanywashington@hotmail.com			
universidad nacional de villa maría	licenciatura en ciencias geológicas	2020-10-06	female	-30	489 cathy manors suite 653 south autumn, tx 57866	jmonroe@hotmail.com			
universidad nacional de villa maría	actuario	2021-01-20	female	22	88212 torres rapid apt. 689 south madisonville, ia 76357	veronicalewis@gmail.com			
universidad nacional de villa maría	diseño de imagen y sonido	2020-11-24	female	9	psc 1259, box 2319 apo ap 54648	malonejoseph@hotmail.com			
universidad nacional de villa maría	licenciatura en ciencias ambientales	2020-09-16	male	3	598 dawn course apt. 418 dunnborough, vt 38589	fflores@gmail.com			
universidad nacional de villa maría	licenciatura en ciencia política	2021-01-17	female	-33	880 gray junction port william, md 94722	xgolden@hotmail.com			
universidad nacional de villa maría	arquitectura	2020-10-22	male	-26	02653 tammy divide suite 553 north susanville, tn 23469	jbaker@hotmail.com			
universidad nacional de villa maría	diseño de imagen y sonido	2020-12-30	female	-19	unit 7092 box 8584 dpo aa 36877	sabrina38@hotmail.com			
universidad nacional de villa maría	licenciatura en ciencias biológicas	2020-11-26	male	24	460 justin cape port sethton, de 34316	caleb20@yahoo.com			
universidad nacional de villa maría	licenciatura en planificación y diseño del paisaje	2020-09-12	female	-9	98207 nicole squares apt. 126 joshuaberg, wi 22502	cnicholson@hotmail.com			
universidad nacional de villa maría	ciencias veterinarias	2021-01-07	male	37	100 wilson burgs angelamouth, ct 85217	chubbard@hotmail.com			
universidad nacional de villa maría	arquitectura	2020-11-09	male	-44	260 mark ridges suite 846 south gregory, nc 26965	bpearson@hotmail.com			
universidad nacional de villa maría	licenciatura en sociología	2020-11-05	male	-32	20506 brandon lights new kennethhaven, va 17683	martinezalicia@yahoo.com			
universidad nacional de villa maría	licenciatura en ciencias de la computación	2020-09-09	female	13	usnv mcclain fpo aa 55002	cookmargaret@hotmail.com			
universidad nacional de villa maría	ingeniería en informática	2020-09-04	male	-11	3893 brooke forks port john, va 02884	michael16@yahoo.com			
