universities,careers,inscription_dates,names,sexo,birth_dates,locations,emails
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,31-12-2020,STACEY-MEDINA,F,07-04-1959,ALDEA-BELEIRO,SARAHPHAM@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,29-10-2020,KATHRYN-NICHOLS,F,22-12-2008,COLONIA-BARGA,CHRISTOPHERANDERSON@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,01-01-2021,ERIC-KANE,M,24-02-2009,SAN-JUSTO,JAMES27@YAHOO.COM
UNIVERSIDAD-DEL-CINE,INGENIERÍA-EN-INFORMÁTICA,17-09-2020,JERRY-BEASLEY,M,30-05-1990,BOQUERON,BROWNMICHAEL@GMAIL.COM
UNIVERSIDAD-DEL-CINE,ARQUITECTURA,29-10-2020,DARRELL-CHAPMAN,M,12-07-1960,AGUA-RICA,CTHOMAS@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,13-11-2020,KIMBERLY-MOORE,F,19-04-1977,ABRA-GUAZU,NHILL@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,09-12-2020,CHAD-NELSON,M,22-02-1976,ANTA,BENJAMIN04@YAHOO.COM
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,16-12-2020,JESSICA-MARKS,F,27-09-1971,COLONIA-CAMPO-PIAGGIO,JEFFREY47@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,12-09-2020,DANIELLE-JOHNSON,F,28-12-1936,DIAMANTE,NUNEZTRACY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,ACTUARIO-,26-11-2020,PAMELA-LANE,F,09-11-1987,EMPALME-VILLA-CONSTITUCION,LOPEZASHLEY@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,02-11-2020,APRIL-MARSHALL,F,22-10-1997,DESVIO-BOERO,XLYNCH@YAHOO.COM
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,04-09-2020,KATHLEEN-DEAN,F,27-05-1969,KILOMETRO-77,WMORRIS@GMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-MUSICOTERAPIA,14-09-2020,MATTHEW-FINLEY,M,05-04-1960,AGUARA-CUA,BRIANPARKER@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,ARQUITECTURA,22-01-2021,ANGELA-KING,F,15-08-1916,AMENABAR,MARIA28@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,12-10-2020,DARIN-LONG,M,25-05-2011,BENITO-JUAREZ,BURNSSTEVEN@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,03-09-2020,MATTHEW-ANDERSON,M,17-07-1909,CALERA-LA-NORMA,KAREN35@YAHOO.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,26-10-2020,DAVID-BURNS,M,13-07-1961,ESTACION-CHRISTOPHERSEN,ELIZABETH62@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,CONTADOR-PÚBLICO-,07-10-2020,AUSTIN-HENSLEY,M,28-04-1955,22-DE-DICIEMBRE,XDELGADO@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,FARMACIA,19-01-2021,NATHAN-GONZALES,M,24-04-2006,AGUADITAS,ALBERTBUSH@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,28-12-2020,CHARLES-HERNANDEZ,M,02-02-1929,APARICIO,WCOLEMAN@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,19-09-2020,CHRISTOPHER-NELSON,M,06-01-1980,ESTACION-LA-RINCONADA,STEPHENSJENNIFER@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,DISEÑO-INDUSTRIAL,22-01-2021,DONALD-FRY,M,29-08-1916,CHAVARRIA,YOUNGCHRISTINA@HOTMAIL.COM
UNIVERSIDAD-DEL-CINE,ACTUARIO-,17-10-2020,MELISSA-BROWN,F,08-07-1948,EL-TALAR,JJONES@GMAIL.COM
