,university,career,inscription_date,first_name,last_name,gender,age,location,email
0,Universidad-nacional-de-río-cuarto,Farmacia,20/Sep/01,Mr.,adams,M,25/Apr/26,"91038-donna-courts
west-paulborough,-nm-11988",Crystal06@yahoo.com
1,Universidad-nacional-de-río-cuarto,Ingeniería-electrónica,20/Sep/01,Melissa,escobar,F,39/Nov/14,"5705-judy-crossroad-suite-730
powellburgh,-sc-89507",Heather97@gmail.com
2,Universidad-nacional-de-río-cuarto,Agronomía,20/Sep/01,Wayne,vazquez,M,67/Jun/06,"817-gray-ville-suite-752
south-lisa,-nd-48889",Ismith@yahoo.com
3,Universidad-nacional-de-río-cuarto,Licenciatura-en-artes,20/Sep/01,Roy,potter,M,12/Jun/11,"224-garner-ford-suite-075
maciasland,-sd-19319",Ortizstephen@hotmail.com
4,Universidad-nacional-de-río-cuarto,Licenciatura-en-kinesiología-y-fisiatría,20/Sep/01,Valerie,brown,F,27/Nov/12,"9791-williams-freeway-suite-077
south-nicholas,-ny-79265",Colleenschultz@yahoo.com
5,Universidad-nacional-de-río-cuarto,Diseño-de-imagen-y-sonido,20/Sep/01,Robin,boone,F,05/Dec/30,"1786-keller-inlet
wendyberg,-mo-38278",Ramseygeorge@gmail.com
6,Universidad-nacional-de-río-cuarto,Licenciatura-en-producción-de-bioimagenes,20/Sep/01,David,douglas,M,29/Sep/28,"Unit-1509-box-3835
dpo-aa-42959",Martha56@gmail.com
7,Universidad-nacional-de-río-cuarto,Actuario-,20/Sep/01,Michael,rodriguez,M,38/Nov/11,"Unit-1522-box-6082
dpo-ap-29314",Hhayes@gmail.com
8,Universidad-nacional-de-río-cuarto,Arquitectura,20/Sep/01,William,jr.,M,54/Nov/19,"28340-wilkerson-stravenue-suite-484
west-aprilhaven,-de-68277",Brittany64@gmail.com
9,Universidad-nacional-de-río-cuarto,Licenciatura-en-sociología-,20/Sep/01,James,robles,M,13/Jun/02,"96071-richard-expressway-suite-984
north-patrickfurt,-de-40667",Xcooper@gmail.com
10,Universidad-nacional-de-río-cuarto,Ingeniería-mecánica,20/Sep/01,Candice,gonzalez,F,65/Jul/19,"2829-dean-mission-apt.-302
lake-dorothyshire,-pa-65094",Williamsdavid@hotmail.com
11,Universidad-nacional-de-río-cuarto,Licenciatura-en-producción-de-bioimagenes,20/Sep/01,Katie,jensen,F,94/Aug/22,"9189-knight-parkways
port-haley,-ak-16157",Rdoyle@gmail.com
12,Universidad-nacional-de-río-cuarto,Licenciatura-en-terapia-ocupacional,20/Sep/02,Elizabeth,stewart,F,00/Aug/28,"1480-vanessa-haven
west-jamesberg,-al-27240",Ajohnson@gmail.com
13,Universidad-nacional-de-río-cuarto,Diseño-industrial,20/Sep/02,Devon,jones,M,38/May/28,"194-nathaniel-tunnel-apt.-302
east-kristin,-ky-90280",Asanchez@yahoo.com
14,Universidad-nacional-de-río-cuarto,Bioquímica,20/Sep/02,Nicholas,martin,M,18/Jul/04,"Uscgc-gates
fpo-ae-43544",Clarkejonathan@gmail.com
15,Universidad-nacional-de-río-cuarto,Licenciatura-en-kinesiología-y-fisiatría,20/Sep/02,Michael,elliott,M,22/Mar/17,"18689-mendoza-extension-apt.-647
michaelville,-wa-01960",Stoutjames@yahoo.com
16,Universidad-nacional-de-río-cuarto,Medicina,20/Sep/02,Diane,armstrong,F,32/Jul/16,"26706-dylan-trail-suite-807
east-christopher,-ga-49997",Jwalters@yahoo.com
17,Universidad-nacional-de-río-cuarto,Licenciatura-en-gestión-de-agroalimentos,20/Sep/02,Mitchell,jenkins,M,07/Aug/23,"0916-hector-streets-apt.-135
danielside,-ky-91460",Joshuastuart@yahoo.com
18,Universidad-nacional-de-río-cuarto,Licenciatura-en-terapia-ocupacional,20/Sep/02,David,brooks,M,94/Sep/03,"442-jacqueline-lights
south-ericton,-sc-86458",Qgordon@gmail.com
