Unnamed: 0	university	career	inscription_date	first_name	last_name	gender	age	location	email	postal_code
0	universidad nacional de río cuarto	farmacia	2020-09-01	mr.	adams	male	96	banderalo	crystal06@yahoo.com	6244
1	universidad nacional de río cuarto	ingeniería electrónica	2020-09-01	melissa	escobar	female	82	costa bonita balneario	heather97@gmail.com	7631
2	universidad nacional de río cuarto	agronomía	2020-09-01	wayne	vazquez	male	54	kilometro 77	ismith@yahoo.com	1737
3	universidad nacional de río cuarto	licenciatura en artes	2020-09-01	roy	potter	male	9	campo la nena	ortizstephen@hotmail.com	2764
4	universidad nacional de río cuarto	licenciatura en kinesiología y fisiatría	2020-09-01	valerie	brown	female	94	otto bemberg	colleenschultz@yahoo.com	2605
5	universidad nacional de río cuarto	diseño de imagen y sonido	2020-09-01	robin	boone	female	16	andalucia	ramseygeorge@gmail.com	5331
6	universidad nacional de río cuarto	licenciatura en producción de bioimagenes	2020-09-01	david	douglas	male	92	ciudadela	martha56@gmail.com	1702
7	universidad nacional de río cuarto	actuario 	2020-09-01	michael	rodriguez	male	83	crotto	hhayes@gmail.com	7307
8	universidad nacional de río cuarto	arquitectura	2020-09-01	william	jr.	male	67	arroyo baru	brittany64@gmail.com	3269
9	universidad nacional de río cuarto	licenciatura en sociología 	2020-09-01	james	robles	male	8	almacen la colina	xcooper@gmail.com	2740
10	universidad nacional de río cuarto	ingeniería mecánica	2020-09-01	candice	gonzalez	female	56	erezcano	williamsdavid@hotmail.com	2903
11	universidad nacional de río cuarto	licenciatura en producción de bioimagenes	2020-09-01	katie	jensen	female	27	la bilbaina	rdoyle@gmail.com	6345
12	universidad nacional de río cuarto	licenciatura en terapia ocupacional	2020-09-02	elizabeth	stewart	female	21	berisso	ajohnson@gmail.com	2848
13	universidad nacional de río cuarto	diseño industrial	2020-09-02	devon	jones	male	83	el pampero	asanchez@yahoo.com	1865
14	universidad nacional de río cuarto	bioquímica	2020-09-02	nicholas	martin	male	3	curandu	clarkejonathan@gmail.com	3532
15	universidad nacional de río cuarto	licenciatura en kinesiología y fisiatría	2020-09-02	michael	elliott	male	0	la isabel	stoutjames@yahoo.com	5743
16	universidad nacional de río cuarto	medicina	2020-09-02	diane	armstrong	female	89	bosques	jwalters@yahoo.com	1889
17	universidad nacional de río cuarto	licenciatura en gestión de agroalimentos	2020-09-02	mitchell	jenkins	male	14	alamo	joshuastuart@yahoo.com	3448
18	universidad nacional de río cuarto	licenciatura en terapia ocupacional	2020-09-02	david	brooks	male	27	fortin chaco	qgordon@gmail.com	8160
19	universidad nacional de río cuarto	licenciatura en artes	2020-09-02	matthew	thomas	male	44	planicie banderita	teresa21@gmail.com	8301
20	universidad nacional de río cuarto	licenciatura en ciencias de la educación 	2020-09-02	katherine	mcdowell	female	67	san andres	gwells@hotmail.com	1651
21	universidad nacional de río cuarto	licenciatura en ciencias biológicas	2020-09-02	daniel	jones	male	93	barrio belgrano ortiz	alexandergonzalez@gmail.com	2440
22	universidad nacional de río cuarto	licenciatura en administración 	2020-09-02	tony	quinn	male	8	saladillo norte	thomas10@hotmail.com	7261
23	universidad nacional de río cuarto	licenciatura en ciencias de la computación	2020-09-02	emily	wong	female	3	la lucila	warnerjames@hotmail.com	3072
24	universidad nacional de río cuarto	agronomía	2020-09-02	alex	holloway	male	5	baños pismanta	whitealyssa@yahoo.com	5465
25	universidad nacional de río cuarto	licenciatura en ciencia política 	2020-09-02	theresa	yang	female	19	curandu	colleen77@yahoo.com	3532
26	universidad nacional de río cuarto	diseño de imagen y sonido	2020-09-02	tracey	garrett	female	56	bañado verde	justinwhitney@yahoo.com	5598
27	universidad nacional de río cuarto	licenciatura en producción de bioimagenes	2020-09-02	ashley	ward	female	89	abra de pives	nicoleyoung@yahoo.com	4618
28	universidad nacional de río cuarto	licenciatura en producción de bioimagenes	2020-09-02	daniel	rush	male	70	colonia bombal	gonzalezwalter@yahoo.com	5529
29	universidad nacional de río cuarto	licenciatura en ciencias de la educación 	2020-09-03	derek	weber	male	84	bernardo de irigoyen	nadams@hotmail.com	2248
30	universidad nacional de río cuarto	bioquímica	2020-09-03	laura	miller	female	96	francisco madero	duncanmichael@yahoo.com	6472
31	universidad nacional de río cuarto	ingeniería en informática	2020-09-03	jeffrey	warren	male	92	capilla del señor	thomas10@hotmail.com	2812
32	universidad nacional de río cuarto	licenciatura en ciencia política 	2020-09-03	mary	white	female	95	la torrecita	cameronhendricks@hotmail.com	6553
33	universidad nacional de río cuarto	licenciatura en sociología 	2020-09-03	kyle	fox	male	1	arroyo claro	theresa63@hotmail.com	5560
