university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PSICOLOGÍA,2020-09-01,GREGORY,HOWELL,M,1954-10-13,5315,"11311 ALEXANDRA CURVE APT. 989
NORTH KEVIN, FL 08011",FRANKALEXANDRA@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,FARMACIA,2020-09-01,TASHA,BROWN,F,1984-11-29,8305,"5354 PEREZ COURTS SUITE 987
WESTLAND, AK 71845",TEDWARDS@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,MEDICINA,2020-09-01,IAN,TAYLOR,M,1976-11-23,3428,"116 JEFFERY RIDGES
JAMESFURT, NC 17516",RICHARD76@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,MEDICINA,2020-09-01,MARK,SANCHEZ,M,2002-06-19,5873,"96634 KATHRYN FORDS SUITE 926
PORT BRITTANY, MI 75315",ODUFFY@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA POLÍTICA ,2020-09-01,SHERRI,CARTER,F,1923-01-17,1765,"44425 JAIME FIELD SUITE 678
PORT SONYAHAVEN, LA 53950",FOSTERCHASE@GMAIL.COM
UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,2020-09-01,PATRICIA,GARDNER,F,1974-05-10,3197,"173 TYLER ISLANDS APT. 551
TERESABERG, GA 66024",HUGHESNINA@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN SOCIOLOGÍA ,2020-09-01,MARISSA,JOHNS,F,1988-10-15,6034,"94010 JASON CAUSEWAY
NEW RACHAEL, DE 27631",JOHN91@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,2020-09-01,CRYSTAL,WILLIAMS,F,1949-01-28,6017,"136 ROY RAMP APT. 806
EAST KRISTEN, HI 73991",LEEBRAD@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,2020-09-01,NICOLE,SMITH,F,1909-11-27,1925,"3402 DELEON VIADUCT APT. 527
MITCHELLFURT, WI 54639",JSHIELDS@YAHOO.COM
UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,2020-09-01,TIMOTHY,DYER,M,1913-04-03,5429,"40149 LAUREN PIKE SUITE 012
JOHNSONTOWN, AK 76947",MARIAJACKSON@HOTMAIL.COM
