,universidad,careers,fecha_de_inscripcion,names,sexo,birth_dates,correos_electronicos,codigo_postal
0,_universidad_de_palermo,agronomía,01/Sep/20,dawn_ford,f,07/Nov/35,davidfry@yahoo.com,2944
1,_universidad_de_palermo,licenciatura_en_ciencia_y_tecnología_de_alimentos,01/Sep/20,christopher_simpson,m,05/Mar/63,kellyscott@gmail.com,1911
2,_universidad_de_palermo,ingeniería_electrónica,01/Sep/20,patrick_mayer,m,01/Oct/17,daniel77@hotmail.com,5541
3,_universidad_de_palermo,licenciatura_en_ciencia_política_,01/Sep/20,eric_monroe,m,16/Jan/40,joseph69@gmail.com,4605
4,_universidad_de_palermo,licenciatura_en_ciencia_y_tecnología_de_alimentos,01/Sep/20,emily_walters,f,19/Aug/01,dchavez@hotmail.com,5741
5,_universidad_de_palermo,actuario_,01/Sep/20,carlos_white,m,31/May/15,jeanette94@yahoo.com,5515
6,_universidad_de_palermo,licenciatura_en_ciencias_de_la_educación_,01/Sep/20,connie_morrow,f,13/Jan/37,johnsondawn@gmail.com,9411
7,_universidad_de_palermo,licenciatura_en_sociología_,01/Sep/20,christopher_scott,m,24/May/11,toddmckee@yahoo.com,4158
8,_universidad_de_palermo,agronomía,01/Sep/20,edward_fowler,m,12/Mar/24,jeffreycameron@yahoo.com,8333
9,_universidad_de_palermo,licenciatura_en_musicoterapia,01/Sep/20,michael_pitts,m,21/Mar/21,usummers@yahoo.com,4516
10,_universidad_de_palermo,licenciatura_en_kinesiología_y_fisiatría,01/Sep/20,sara_hughes,f,02/Mar/52,mooreanthony@gmail.com,3485
11,_universidad_de_palermo,arquitectura,01/Sep/20,michael_barrett,m,17/Apr/10,jamiemartin@yahoo.com,4705
12,_universidad_de_palermo,licenciatura_en_psicología,01/Sep/20,mark_smith,m,02/Oct/30,ashleybarnes@gmail.com,6743
13,_universidad_de_palermo,técnico_para_bioterios_,01/Sep/20,zachary_taylor_md,m,22/Mar/65,michael41@hotmail.com,1678
14,_universidad_de_palermo,licenciatura_en_ciencias_geológicas,02/Sep/20,stephanie_kelley,f,26/Aug/61,brobertson@yahoo.com,4103
15,_universidad_de_palermo,farmacia,02/Sep/20,cynthia_cohen,f,21/Mar/76,ugarcia@hotmail.com,6400
